Dataset Source,accessURI,Label only?,modifiedBy,verifiedBy,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/719/C0341231F.jpg,,lk,,C0341231F,"A.J. Sharp, F.D. Bowers, D.K. Smith, R.A. Hattaway, Paul Somers, Jr.",A. J. Sharp,"F. D. Bowers | D. K. Smith | R. A. Hattaway | P. Somers, Jr.",2980-a,"Dec. 23, 1972",1972-12-23,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Oaxaca,N/A,N/A,Roadside near San Pablo Ayutla (about 70 km. east of Oaxaca.) Oaxaca,"Roadside near San Pablo Ayutla, about 70 kilometers east of Oaxaca",Oak-pine woods,tree branch,± 6000 ft,N/A,1045269,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/722/C0341234F.jpg,,lk,,C0341234F,Howard A. Crum,H. A. Crum,N/A,917,23 July 1949,1949-07-23,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,"Slopes of La Ferrería, above Manantlán","Slopes of La Ferrería, above Manantlán",Oak forest,branch,7300 feet,N/A,1089541,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/724/C0341237F.jpg,,lk,,C0341237F,C. G. Pringle,C. G. Pringle,N/A,10550,"17, July, 1908",1908-07-17,N/A,"Braunia squarrulosa, (Hpe.) Broth.",Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Federal District,N/A,N/A,Cima,Cima,Base of trees,N/A,"10,000 ft",N/A,1172449,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/725/C0341238F.jpg,,lk,,C0341238F,Eggers & Frahm,H. F. A. Eggers,J. P. Frahm,s.n.,10.3.79,1979-03-10,N/A,Braunia squarrulosa (Hamp.) Broth.,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,"Mexico:Edo.Chiapas, Km 100 an der Str.Ocosingo-San Cristobal",Kilometer 100 an der Straße Ocosingo-San Cristobal,Eichen-Kiefernwald,N/A,2250 msm,N/A,1031467,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/726/C0341239F.jpg,,lk,,C0341239F,Eggers & Frahm,H. F. A. Eggers,J. P. Frahm,s.n.,10.3.79,1979-03-10,N/A,Braunia squarrosula (Hampe) Broth.,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,"Mexico:Edo.Chiapas, Km 100 an der Str.Ocosingo-San Cristobal",Kilometer 100 an der Straße Ocosingo-San Cristobal,Eichen-Kiefernwald,N/A,2251 msm,N/A,1031495,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/729/C0341242F.jpg,,lk,,C0341242F,F. J. Hermann,F. J. Hermann,N/A,26429,"February 9, 1975",1975-02-09,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,along Route 190. 15 miles SE. San Cristobal de las Casas,"Along Route 190, 15 miles southeast of San Cristobal de las Casas",Oak-pine woods,bark,6800 ft,N/A,1045277,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/733/C0341246F.jpg,,lk,,C0341246F,"Dana Griffin, III y María Isabel Morales",D. Griffin III,M. I. Morales,B 97,4 Feb. 1979,1979-02-04,N/A,Braunia squarrulosa (Hampe) C. Müll.,Braunia squarrulosa,E. De Luna,1992,N/A,Costa Rica,San Jose,N/A,N/A,"Prov. San Jose: Valle de Copey, ca. 30 kms al sur de Cartago","Valle de Copey, cerca de 30 kilometros al sur de Cartago",Bosque primario montano bajo muy húmedo y potreros,rock,2.000 m,N/A,1029423,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/735/C0341248F.jpg,,lk,,C0341248F,S. Churchill,S. Churchill,N/A,20792,4 Ago 2001,2001-08-04,N/A,Braunia exerta C. Müller,Braunia exerta,S. Churchill,2001,N/A,Bolivia,Tarija,Burdett O'Connor,N/A,Tarija: Burnet O'Connor Serrania Huacayoj. Ca. 35 km oeste de Entre Rios (carretera a Tarija),"Serrania Huacayoj, cerca 35 kilometros oeste de Entre Rios, carretera a Tarija",Bosque montano Tucumano-Boliviano remanente,twigs,2300 m,21°25'S 64°19'W,1183435,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/738/C0341251F.jpg,,lk,,C0341251F,B. Sparre,B. Sparre,N/A,B11750,27 November 1946,1946-11-27,N/A,Braunia cirrhifolia (Mitt.) Jaeg.,Braunia cirrhifolia,W. R. Buck,N/A,N/A,Argentina,Tucuman,Chicligasta,N/A,"Argentina, Prov. Tucuman, Chicligasta, Rio Cochuna",Rio Cochuna,Subtropical rainforest,tree,1000 m a.s.l.,N/A,1136355,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/740/C0341253F.jpg,,lk,,C0341253F,Marko Lewis,M. Lewis,N/A,79-1625,6 April 1979,1979-04-06,N/A,Braunia cirrhifolia (Mitt.) Wils. ex Jaeg.,Braunia cirrhifolia,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,"Depto. La Paz, Prov. Larecaja: Canyon 1 km. E. of Cachipata, SE of Sorata","Canyon 1 kilometer east of Cachipata, southeast of Sorata",Ravine with waterfall,N/A,3250 m,"15° 48' S., 68° 36' W",1032380,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/741/C0341254F.jpg,,lk,,C0341254F,Marko Lewis,M. Lewis,N/A,82-303,9 Dec 1982,1982-12-09,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,D. Griffin III,1990,N/A,Bolivia,La Paz,Larecaja,N/A,"Depto. La Paz Prov. Larecaja: 'Río Chalusuyu' Along the Río Chalusuyu, a branch of the Río San Cristóbal, 3 km NW of Sorata","Along the Río Chalusuyu, a branch of the Río San Cristóbal, 3 kilometers northwest of Sorata","Arid woodland and cliff area, many cacti present; at base of cliffs near river amongst a boulder pile in a deep canyon",N/A,ca. 2450 m,"16°44'S, 68°41'W",1091412,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/742/C0341255F.jpg,,lk,,C0341255F,Marko Lewis,M. Lewis,N/A,79-1230,22 March 1979,1979-03-22,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,"Depto. La Paz, Prov. Larecaja: Near large red out-crop 2 mi. from Sorata down Río Consata",Near large red outcrop 2 miles from Sorata down Río Consata,N/A,rock,2600 m,"15° 41' S., 68° 43' W",1032384,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/744/C0341257F.jpg,,lk,,C0341257F,Marko Lewis,M. Lewis,N/A,79-947,5 March 1979,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,"Depto. La Paz, Prov. Saavedra: Trail between Charasani and Niño Karine, NNW of Chuma","Trail between Charasani and Niño Karine, north northwest of Chuma",Banks of trail,N/A,3200-3240 m,"15° 11' S., 69° 04' W",1032341,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/745/C0341258F.jpg,,lk,,C0341258F,Marko Lewis,M. Lewis,N/A,79-940,5 March 1979,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,"Depto. La Paz, Prov. Saavedra: Trail between Charasani and Niño Karine, NNW of Chuma","Trail between Charasani and Niño Karine, north northwest of Chuma",Banks of trail,N/A,3200 m,"15° 11' S., 69° 04' W",1032381,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/750/C0341263F.jpg,,lk,,C0341263F,Marko Lewis,M. Lewis,N/A,79-935,5 March 1979,1979-03-05,N/A,Hedwigidium integrifolium (P. Beauv.) Dix.,Braunia rupestris,E. De Luna,1991,N/A,Bolivia,La Paz,Saavedra,N/A,"Depto. La Paz, Prov. Saavedra: Trail between Charasani and Niño Karine, NNW of Chuma","Trail between Charasani and Niño Karine, north northwest of Chuma",Banks of trail,N/A,3200 m,"15° 11' S., 69° 04' W",1032366,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/751/C0341264F.jpg,,lk,,C0341264F,Marko Lewis,M. Lewis,N/A,79-615,10 February 1979,1979-02-10,N/A,Hedwigidium integrifolium (P. Beauv.) Dix.,Braunia rupestris,E. De Luna,1991,N/A,Bolivia,Tarija,Méndez,N/A,"Depto. Tarija, Prov. Méndez: 5 mi. NE of Iscayachi, E. slope of mountains (hike from summit of road into canyon N. of Tarija-Iscayachi Hwy.)","5 miles northeast of Iscayachi, hike from summit of road into canyon north of Tarija-Iscayachi Highway",Dirt ban in Kheñwa forest,N/A,3350 m,"21° 27' S., 49° 54' W",1032358,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/752/C0341265F.jpg,,lk,,C0341265F,"M. Dillon, U. Molau & P. Matekaitis",M Dillon,U. Molau | P. Matekaitis,3128D,28 Jan. 1983,1983-01-28,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,D. Griffin III,N/A,N/A,Peru,Ancash,Yungay,N/A,"Ca. 25 km NE of Yungay, below Laguna de Llanganuco","Circa 25 kilometers northeast of Yungay, below Laguna de Llanganuco",N/A,branch,±3380 m,N/A,1111863,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/753/C0341266F.jpg,,lk,,C0341266F,"Dana Griffin, III y Jesús Dugarte",D. Griffin III,J. Dugarte,PV-1143,1 marzo 1985,1985-03-01,N/A,Braunia secunda (Hook.) BSG,Braunia secunda,D. Griffin III,N/A,N/A,Venezuela,Merida,N/A,N/A,"Estado Merida: Quebrada Gavidia, al sur de Mucuchíes, entre la peña La Virgen y el puente de El Potrerito, cerca del pueblo de Gavidia","Quebrada Gavidia, al sur de Mucuchíes, entre La Peña La Virgen y el puente de El Potrerito, cerca del pueblo de Gavidia",Páramo con Espeletia schultzii,N/A,3.100-3.200 m,N/A,1064457,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/755/C0341268F.jpg,,lk,,C0341268F,Marko Lewis,M. Lewis,N/A,79-489A,2 February 1979,1979-02-02,N/A,Braunia laxifolia Herz.,Braunia subincana,E. De Luna,1992,N/A,Bolivia,Tarija,O'Connor,N/A,"Depto. Tarija, Prov. O'Connor: Casteon, at summit of mountain above and W. of Entre Ríos, along road to Tarija","Casteon, at summit of mountain above and west of Entre Ríos, along road to Tarija",Dry deciduous forest,rock,1750 m,"21° 28' S., 64° 12' W",1032377,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/757/C0341270F.jpg,,lk,,C0341270F,F. J. Hermann,F. J. Hermann,N/A,25278,"December 24, 1972",1972-12-24,N/A,Braunia subplicata E.G.Britt.,Braunia subincana,E. De Luna,1992,N/A,Bolivia,Cochabamba,Chaparé,Cochabamba,"Province of Chaparé, in market at Cochabamba",In market,N/A,N/A,ca. 9500 ft,N/A,1045267,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/102/C0341698F.jpg,,lk,,C0341698F,S.R.Gradstein & M.Lewis,S. R. Gradstein,M. Lewis,7560,12 November 1989,1989-11-12,N/A,Racopilum intermedium Hampe,Racopilum intermedium,B. O. van Zanten,N/A,N/A,Bolivia,Cochabamba,Chapare,N/A,"Bolivia. Dept. Cochabamba, Prov. Chapare, Incacorral, 5 km S of road Cochabamba - Villa Tunari km 95","Incacorral, 5 kilometers south of Cochabamba-Villa Tunari road, Km 95",Wet meadows and secondary woodlands,rock,2300 m,N/A,1091583,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/191/C0341739F.jpg,,lk,,C0341739F,Marko Lewis,M. Lewis,N/A,83-503,7 Feb 1983,1983-02-07,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,N/A,N/A,N/A,Bolivia,La Paz,Nor Yungas,N/A,Depto. La Paz Prov. Nor Yungas: 'Corocio' 1 km S of Coroico along road between Coroico and Yolosa,1 kilometer south of Coroico along road between Coroico and Yolosa,"Fruit and coffee plantations, shady fruit orchard",rock,ca. 1650 m,16°11'S 67°43'E,1100456,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/199/C0341763F.jpg,,lk,,C0341763F,Ynes Mexia,Y. Mexia,N/A,5281-a,"Nov. 11, 1930",1930-11-11,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,E. B. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,Viçosa,Viçosa. Fazenda de F. Lopez,Fazenda de F. Lpoez,Cut over woods,log,720 m,N/A,N/A,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/207/C0341787F.jpg,,lk,,C0341787F,S. R. Gradstein & W. A. Weber,S. R. Gradstein,W. A. Weber,M-58,24.IV.1976,1976-04-24,N/A,Rhacopilum tomentosum (Hedw.)Brid.,Racopilum tomentosum,W. A. Weber,N/A,N/A,Ecuador,N/A,N/A,N/A,Galapagos Islands. Isla Floreana. east of Cruz Farm,"Galapagos Islands | Isla Floreana, east of Cruz Farm",Woodlands and pampas,rock,250-350 m,N/A,1023912,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/209/C0341789F.jpg,,lk,,C0341789F,P+E. Hegewald,P. Hegewald,E. Hegewald,6726,31.8.1973,1973-08-31,N/A,Rhacopilum tomentosum(Hedw.)Brid.,Racopilum tomentosum,E. Hegewald,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,Saullamur zw. Balsas u. Leimebamba,"Saullamur, zwischen Balsas und Leimebamba",N/A,"rock, log",N/A,N/A,1026724,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/214/C0341798F.jpg,,lk,,C0341798F,J. & P. A. Florschütz,J. Florschütz-de Ward,P. A. Florschütz,4715,18.XII.1975,1975.12.18,N/A,Racopilum tomentosum (Hedw.)Brid.,Racopilum tomentosum,P. A. Florschütz and J. Florschütz-de Ward,N/A,N/A,Suriname,N/A,N/A,N/A,"Brownsberg, trail to Leo Val","Brownsberg, trail to Leo Val",N/A,log,N/A,N/A,1028580,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/115/C0341803F.jpg,,lk,,C0341803F,"E. Linares, S.R. Gradstein and B.O. van Zanten",E. Linares,S. R. Gradstein | B. O. van Zanten,1543,26 Sept. 1984,1984.09.26,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,N/A,N/A,N/A,Colombia,Mata,N/A,Villavicencio,"Colombia. Dept. Mata, Villavicencio, Bavaria brewery near rio Gauitiquia ",Bavaria brewery near Rio Gauitiquia,forest,log,600 m,N/A,1065598,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/218/C0341804F.jpg,,lk,,C0341804F,Marko Lewis,M. Lewis,N/A,83-511,7 Feb 1983,1983-02-07,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,N/A,N/A,N/A,Bolivia,La Paz,Nor Yungas,N/A,Depto. La Paz Prov. Nor Yungas: 'Corocio' 1 km S of Coroico along road between Coroico and Yolosa,1 kilometer south of Coroico along road between Coroico and Yolosa,"Fruit and coffee plantations, orchard",bark,ca. 1650 m,16°11'S 67°43'E,1100344,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/219/C0341805F.jpg,,lk,,C0341805F,Ynes Mexia,Y. Mexia,N/A,8190a,"Sept. 15, 1936",1936-09-15,N/A,Rhacopilum tomentosum (Sw.) Brid.,Racopilum tomentosum,E. B. Bartram,N/A,N/A,Peru,Huanuco,Huanuco,N/A,Departamento and Provincia Huanuco. Distrito Churubamba; Hacienda Mercedes; Poca Perga,"Distrito Churubamba, Hacienda Mercedes, Poca Perga",N/A,bark,1950 m,N/A,N/A,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/220/C0341806F.jpg,,lk,,C0341806F,Ynes Mexia,Y. Mexia,N/A,8165a,"Sept. 9, 1936",1936-09-09,N/A,Rhacopilum tomentosum (Sw.) Brid.,Racopilum tomentosum,E. B. Bartram,N/A,N/A,Peru,Huanuco,Huanuco,N/A,Departamento and Provincia Huanuco. Distrito Churubamba; Hacienda Exito; bank of Rio Ysabel,"Distrito Churubamba, Hacienda Exito, bank of Rio Ysabel",Wood,rock,1100 m,N/A,1036304,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2308/221/C0341807F.jpg,,lk,,C0341807F,Ynes Mexia,Y. Mexia,N/A,8168a,"Sept. 9, 1936",1936-09-09,N/A,Rhacopilum tomentosum (Sw.) Brid.,Racopilum tomentosum,E. B. Bartram,N/A,N/A,Peru,Huanuco,Huanuco,N/A,Departamento and Provincia Huanuco. Distrito Churubamba; Hacienda Exito; bank of Rio Ysabel,"Distrito Churubamba, Hacienda Exito, bank of Rio Ysabel",Wood,rock,1100 m,N/A,1036248,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2310/761/C0341828F.jpg,,lk,,C0341828F,Richard Evans Schultes et Isidoro Cabrera,R. E. Schultes,I. Cabrera,16563,"May 19, 1952",1952-05-19,N/A,Leucomium lignicola Spruce ex Mitt.,Leucomium lignicola,H. A. Crum,1956,Callicostella aspera,Colombia,Amazonas,N/A,N/A,Río Miritiparaná: Caño Guacayá,"Río Miritiparaná, Caño Guacayá",N/A,log,about 700 feet,00°30'S 70°40'W,1055465,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2310/772/C0341834F.jpg,,lk,,C0341834F,"Dana Griffin, III, Orlando Rangel y Guido van Reenen",D. Griffin III,O. Rangel | G. van Reenen,50186,Júlio-Agosto 1977,1977-07-00,1977-08-00,Leucomium lignicola Spr. ex Mitt.,Leucomium lignicola,D. Griffin III,N/A,N/A,Colombia,Magdalena,N/A,N/A,Departamento de Magdalena: Parque Nacional de la Sierra Nevada de Santa Marta. Vertiente oriental del Rio Buritaca,"Parque Nacional de la Sierra Nevada de Santa Marta, vertiente oriental del Rio Buritaca",Bosque nublado montano bajo,root,1600-1700 m,N/A,1029476,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2311/202/C0341890F.jpg,,lk,,C0341890F,S.P. Churcill et al.,S. P. Churchill,et al.,15466,6 July 1987,1987-07-06,N/A,Trachyxyphium tenue (Mitt.) Buck (=Hookeriopsis tenue Mitt.),Hooperiopsis tenue,S. P. Churchill,N/A,N/A,Colombia,Antioquia,N/A,La Union,"Colombia. Antioquia: Mun. de la Union, Cerro San Miguel S of San Miguel","Cerro San Miguel, south of San Miguel",Secondary montane forest,N/A,2460-2620 m,5°55'N 75°17'W,1139980,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2310/492/C0341932F.jpg,,lk,,C0341932F,"Dana Griffin, III, María Isabel Morales y Dora Emília de Retana",D. Griffin III,M. I. Morales | D. E. Retana,215,"Júlio 3-4, 1977",1977-07-03,1977-07-04,Hypnella pilifera (Hook. et Wils.) Jaeg.,Hypnella pilifera,N/A,N/A,N/A,Costa Rica,Cartago,N/A,N/A,"Cartago: Reserva Forestal Tapantí, vertiente oriental del Río Macho","Reserva Forestal Tapantí, vertiente oriental del Río Macho",Bosque muy húmedo montano bajo,bark,1.600 m,N/A,1025621,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2310/951/C0342106F.jpg,,lk,,C0342106F,John J. Wurdack,J. J. Wurdack,N/A,34365,"February 11, 1953",1953-02-11,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,E. B. Bartram,N/A,N/A,Venezuela,Bolívar,N/A,N/A,Between Camps 3 and 2,"Chimantá Massif, Tirepón-tepuí, between Camps 3 and 2",Forest,log,1250 - 1200 m,N/A,1026297,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2310/953/C0342107F.jpg,,lk,,C0342107F,William R. Buck,W. R. Buck,N/A,2445,9-12 July 1979,1979-07-09,1979-07-12,Hookeriopsis parkeriana (Hook. & Grev.) Jaeg.,Hookeriopsis parkeriana,N/A,N/A,N/A,Brazil,Amazonas,N/A,N/A,"Slopes and summit of Serra Curicuriari, from Igarapé Arabú of the Rio Curicuriari to the summit","Slopes and summit of Serra Curicuriari, from Igarapé Arabú of the Rio Curicuriari to the summit",N/A,tree,ca. 450 m,00°20'S 66°50'W,1125881,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2310/974/C0342117F.jpg,,lk,,C0342117F,Robin B. Foster,R. B. Foster,N/A,4722,30 July 1981,1981-07-30,N/A,Hypnella pilifera (Hook. et Wils.) Jaeg.,Hypnella pilifera,N/A,N/A,N/A,Peru,Pasco,N/A,N/A,"Depto. Pasco: E slope of Cordillera Yanachaga, on Tunque-Chuchurras trail","East slope of Cordillera Yanachaga, on Tunque-Chuchurras trail",Weinmania forest,N/A,1900 m,"10°30'S, 75°30'W",1059405,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2310/987/C0342123F.jpg,,lk,,C0342123F,J.W. Fitzpatrick & D.E. Willard,J. W. Fitzpatrick,D. E. Willard,s.n.,4 Dec. 1981,1981-12-04,N/A,Hypnella pilifera (Hook. et Wils.) Jaeg.,Hypnella pilifera,N/A,N/A,N/A,Peru,Cuzco,N/A,N/A,"Depto. Cuzco: Slopes above Pillahuata, near km #126 on Cosñipata Hwy","Slopes above Pillahuata, near Kilometer 126 on Cosñipata Highway",Extremely mossy elfin cloud forest near shallow ravine,N/A,2850 m,"13°11'S, 71°22'W",1059455,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2311/048/C0342153F.jpg,,lk,,C0342153F,S.P. Churcill et al.,S. P. Churchill,et al.,18335,11 July 1992,1992-07-11,N/A,Hypnella diversifolia (Mitt.) Jaeg.,Hypnella diversifolia,S. P. Churchill,N/A,N/A,Colombia,Antioquia,N/A,Valdivia,"Colombia. Antioquia: Mun. de Valdivia, road to Pueblo Nuevo, Ventanas","Road to Pueblo Nuevo, Ventanas",Secondary montane forest,N/A,1950 m,7°5'N 75°25'W,1139992,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2311/060/C0342159F.jpg,,lk,,C0342159F,John J. Wurdack,J. J. Wurdack,N/A,34056,"January 7, 1953",1953-01-07,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,E. B. Bartram,N/A,N/A,Venezuela,Bolívar,N/A,N/A,Between Camps 2 and 3,"Chimantá Massif, Tirepón-tepuí, between Camps 2 and 3",Forest,log,1200-1250 m,N/A,1026299,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2311/071/C0342164F.jpg,,lk,,C0342164F,Robin B. Foster,R. B. Foster,N/A,4720,30 July 1981,1981-07-30,N/A,Hypnella pallescens (Hook.) Jaeg.,Hypnella pallescens,N/A,N/A,N/A,Peru,Pasco,N/A,N/A,"Depto. Pasco: E slope of Cordillera Yanachaga, on Tunque-Chuchurras trail","East slope of Cordillera Yanachaga, on Tunque-Chuchurras trail",Weinmania forest,N/A,1900 m,"10°30'S, 75°30'W",1059403,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2311/073/C0342165F.jpg,,lk,,C0342165F,John J. Wurdack,J. J. Wurdack,N/A,34635,"February 11, 1953",1953-02-11,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,E. B. Bartram,N/A,N/A,Venezuela,Bolívar,N/A,N/A,Between Camps 3 and 2,"Chimantá Massif, Tirepón-tepuí, between Camps 3 and 2",Forest,log,1250 - 1200 m,N/A,1026300,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2314/809/C0342515F.jpg,,lk,,C0342515F,T. Husnot,T. Husnot,N/A,109,Août,N/A,N/A,Weisia compacta Brid.,Weisia compacta Brid.,N/A,N/A,N/A,Italy,N/A,N/A,N/A,Sobretta (Lombardie),"Lombardy, Mount Sobretta",N/A,rock,N/A,N/A,1084497,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/929/C0398471F.jpg,,lk,,C0398471F,H. Inoue,H. Inoue,N/A,337,"Jan. 11, 1973",1973-01-11,N/A,Macromitrium japonicum Doz. et Molk.,Macromitrium japonicum,Z. Iwatsuki,N/A,N/A,Japan,N/A,N/A,N/A,"Japan: Around Shirahama, Iriomote Isl., the Ryukyu Isls.",Ryukyu Islands | Iriomote Island | Around Shirahama,N/A,bark,N/A,about 10 m,1021837,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2298/760/C0399126F.jpg,,lk,,C0399126F,P. R. Reitz,P. R. Reitz,N/A,2464,17.12.1948,1948-12-17,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,E. B. Bartram,1949,N/A,Brazil,Santa Catarina,N/A,Bom Retiro,"Campo dos Padres, Bom Retiro",Campo dos Padres,Rupestre,rock,2000 msm,N/A,N/A,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2298/823/C0399179F.jpg,,lk,,C0399179F,Frahm,J. P. Frahm,N/A,26,s.d.,s.d.,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,J. P. Frahm,N/A,N/A,Brazil,São Paulo,N/A,N/A,"Sao Paulo, Serra da Bocaina, Leeseite, an der Straße Campos da Cunha - Sao José dos Bareiros","Serra da Bocaina, Campos da Cunha-Sao José dos Barreiros road",Podocarpus Wald,tree,1200 msm,N/A,1026026,Typed,no type status
