modelname,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,W. R. Buck,Brazil,Amazonas,On branches at summit,N/A,Hookeriopsis parkeriana,PASS,1979-07-12,PASS,N/A,Typed,PASS,2445,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Peru,Pasco,In Weinmannia forest,PASS,Hypnella pilifera,PASS,N/A,1981-07-30,N/A,Typed,1059405,4722,N/A,N/A,no type status,PASS,PASS,N/A,1900 m,30 July 1981,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,J. M. Fitzpatrick,Peru,PASS,Extremely mossy elfin cloud forest near shallow ravine,PASS,Hypnella pilifera,PASS,N/A,1981-12-04,N/A,Typed,1059455,s.n.,N/A,D. E. Willard,no type status,PASS,PASS,PASS,PASS,4 Dec. 1981,Hypnella pilifera (Hook. & Wils.) Jaeg.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,S. P. Churchill,Colombia,Antioquia,PASS,S. P. Churchill,Hypnella diversifolia,PASS,N/A,1992-07-11,PASS,Typed,PASS,18335,N/A,N/A,no type status,PASS,PASS,N/A,PASS,11 July 1992,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Venezuela,PASS,PASS,PASS,Hypnella cymbifolia,PASS,N/A,1953-01-07,N/A,PASS,1026299,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"January 7, 1953",PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,PASS,PASS,Peru,Pasco,In Weinmannia forest,N/A,Hypnella Pallescens,PASS,N/A,1981-07-30,N/A,Typed,1059403,4720,N/A,N/A,no type status,PASS,10°30'S 75°30'W,N/A,1900 m,30 July 1981,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,J. J. Wurdack,Venezuela,PASS,PASS,PASS,PASS,Frequent on fallen logs in forest between Camps 3 and 2,N/A,PASS,N/A,Typed,1026300,PASS,N/A,N/A,no type status,John J. Wurdack,N/A,N/A,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,T. Husnot,France,Orne,PASS,N/A,PASS,PASS,N/A,PASS,PASS,Mix of Handwritten and Typed,1084497,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,Pinus thunbergii,H. Inoue,Japan,PASS,On bark of Pinus thunbergii,Z. Iwatsuki,Macromitrium japonicum,PASS,N/A,1973-01-11,N/A,Typed,1021837,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,elevation about 10 m,PASS,Macromitrium japonicum Doz. et Molk.,"Around Shirahama, Iriomote Isl., the Ryukyu Isls."
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Brazil,Santa Catarina,Rupestre,PASS,Campylopus arctocarpus,PASS,N/A,PASS,PASS,PASS,PASS,2464,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Campylopus arctocarpus (Hornsch.) Mitt.,"Campo dos Padres, Bom Retiro"
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,PASS,PASS,Brazil,PASS,epiphytisch im Podocarpus-Wald,PASS,Campylopus arctocarpus,PASS,N/A,1977-07-22,PASS,Typed,1026026,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,Campylopus arctocarpus (Hornsch.) Mitt.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Brazil,Santa Catarina,PASS,N/A,PASS,PASS,N/A,PASS,PASS,PASS,N/A,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,Schäfer-Verwimp,Brazil,São Paulo,PASS,Schäfer-Verwimp,Campylopus griseus,PASS,N/A,1987-09-05,N/A,PASS,1097651,9019,N/A,N/A,no type status,PASS,N/A,N/A,1400 msm,5.9.1987,Campylopus griseus (Hornsch.) Jaeg.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Peru,Amazonas,PASS,PASS,Campylopus heterostachys,PASS,N/A,1982-09-06,PASS,Typed,1053590,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
