associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,substrate,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,Jose Schunke,Peru,San Martín,"En bosque secundario, con abundante luz solar.",D. Dyer,Hamelia patens Jacq.,"Alonso de Alvarado, San Juan de Pacaistapa, km 72 carretera Tarapoto-Yoyobamba",1977-05-30,1977-05-30,N/A,Typed,1872133,9560,N/A,N/A,N/A,no type status,Jose Schunke,N/A,1980,1000-1050 m.,30 Mayo 1977,"""Merope-Syachia""","Provincia: San Martín. Alonso de Alvarado. San Juan de Pacaistapa, km. 72 carretera Tarapoto-Yoyobamba. Alt. 1000-1050 m."
N/A,G. Tosi,Peru,Loreto,N/A,William O. Burger,Ficus maxima P. Miller,"Quistococha, 14 kilometers north of Iquitos",N/A,1981-08-18,N/A,Typed,1923146,138,N/A,"J. Luna, J. Ruiz",N/A,no type status,"G. Tosi, J. Luna, J. Ruiz",N/A,1982,600m elev,18-8-81,Ficus maxima P. Miller,"Quistococha, 14km north of Iquitos"
N/A,E. P. Killip,Peru,Junín,rich damp forest,N/A,Psychotria sararensa (Rusby) Standl.,"Cahuapanas, Río Pichis",1929-07-27,1929-07-23,N/A,Typed,607534,16721,N/A,A. C. Smith,N/A,no type status,E. P. Killip & A. C. Smith,N/A,N/A,about 400 meters,"July 23-27, 1929",Psychotria sararensa (Rusby) Standl.,"Dept. Junín: Cahuapanas, Río Pichis; rich damp forest."
N/A,M. O. Dillon,Peru,Piura,N/A,P. Fryxell,Wissadula grandiflora Baker ex Rusby,approximately 2 kilometers north of Canchaque,N/A,N/A,N/A,Typed,N° 2119563,6310,Huancabamba,I. Sánchez V.,N/A,no type status,M. O. Dillon and I. Sánchez V.,5°24'S 79°36'W,1983,ca. 1450 m,N/A,"Wissadula grandiflora Baker ex Rusby det. P. Fryxell, 1983","Dept. Piura. Prov. Huancabamba, ca. 2 km N of Canchaque."
N/A,J. Francis Macbride,Peru,Cueva Grande,N/A,N/A,Croton Billieturneri,Cueva Grande,N/A,1923-06-22,N/A,Typed,535840,4806,N/A,N/A,N/A,no type status,J. Francis Macbride,N/A,N/A,about 3000 feet,"June 22, 1923",Croton Billieturneri,Cueva Grande
N/A,N/A,Peru,La Libertad,Puna húmeda,Bolette Hjalfdan-Nielsen,Geranium chillonense Kunth,Cerro Campana,N/A,1960-07-12,N/A,Typed,1684365,2820,"Prov. Otuzco, Dpto. La Libertad",N/A,soil,no type status,N/A,N/A,1993,3740 m.s.n.m.,12 de Julio 1960,Geranium sp.,"Prov. Otuzco, Dpto. La Libertad, Cerro Campana"
N/A,J. Mostacero L.,Peru,Cajamarca,Al borde de carretera,"M. J. Huft, 1991",Solanum asterophorum Mart. ex Sendtn.,La Morilla,N/A,1986-11-12,N/A,Typed,199382,1040,N/A,"S. Llatas Q., F. Mejia C., J. Guevara B.",soil,no type status,"J. Mostacero L., S. Llatas Q., F. Mejia C., J. Guevara B.",N/A,1991,2450 msnm,12-11-1986,Solanum asterophorum Mart. ex Sendtn.,La Morilla (Socota-San Andrés)
N/A,"Spichiger, R.",Pérou,Loreto,"Bosque de terraza alta, suelo arenoso.",N/A,Pourouma guianensis Aubl. var. guianensis,[precise locality unknown],N/A,1986-04-10,N/A,Typed,N° 2027582,3012,Jenaro Herrera,P.-A. Loizeau,N/A,no type status,"SPICHIGER, R. & P.-A. LOIZEAU",N/A,N/A,125 m.,10-4-86,Pourouma guianensis Aubl. var. guianensis,"Bosque de terraza alta, suelo arenoso."
N/A,G. Klug,Peru,Loreto,forest,N/A,Befaria aestuans L. var. glabrata (Klotzsch) Mez,"Mishuyacu, near Iquitos",1929-12-00,1929-12-00,N/A,Typed,613565,660,N/A,N/A,N/A,no type status,G. Klug,N/A,N/A,100 meters,Dec. 1929,"Befaria aestuans L. var. glabrata (Klotzsch) Mez ""Huairuro colorado""","Mishuyacu, near Iquitos, alt. 100 meters, forest"
N/A,T. R. Dudley,Peru,Dept. Ayacucho,dense forest; in high elfin hepatic forest as timberline,Job Kuijt,Dendrophthora mesembryanthemifolia,"eastern Massif of the Cordillera Central on San Miguel, vicinity of Hacienda Luisiana",1968-08-24,1968-08-24,N/A,Typed,1721727,12063,Prov. La Mar,N/A,twigs,no type status,T. R. Dudley,73°53'W; 12°45'S.,18 Dec. 1984,3220 meters,24 Aug. 1968,Dendrophthora sp. of D. mesembryanthemifolia,"eastern Massif of the Cordillera Central on San Miguel, Ayacucho, Vic. Hacienda Luisiana"
N/A,C. Klug,Peru,Loreto,"low montane, forest",M. Vásquez Avila,Ficus trigona L.f.,"Mishuyacu, near Iquitos",N/A,1929-04-19,N/A,Typed,873381,1596,N/A,N/A,N/A,no type status,C. Klug,N/A,Utrecht 1983,N/A,April 19 1929,Ficus trigona L.f.,"Mishuyacu, near Iquitos, low montane, forest"
N/A,Mildred E. Mathias,Perú,Loreto,"Liana 2-3 inches in diameter ""Barbasco selvatre""",William R. Anderson,Bunchosia armeniaca (Cav.) DC. var. armeniaca,vicinity of Requena,N/A,1961-07-13,vicinity of Requena,Typed,1733057,5576,N/A,Dermot Taylor,N/A,no type status,"Mildred E. Mathias, Dermot Taylor",N/A,1983,N/A,13 July 19 61,"Malpighiaceae, Bunchosia armeniaca (Cav.) DC. var. armeniaca",Loreto: vicinity of Requena
N/A,José Schunke Vigo,Peru,Loreto,tall forest,Donald R. Simpson,Paulinia bracteosa Radlk.,Quebrada de Iquiquis,1964-12-17,1964-12-17,N/A,Typed,1717601,6677,Maynas,N/A,N/A,no type status,José Schunke Vigo,N/A,8.I.1993,220 m.,17 Dec 1964,Paulinia bracteosa Radlk.,"Quebrada de Iquiquis, (Contamana) in tall forest, 220 m."
N/A,Llewellyn Williams,Peru,Loreto,N/A,N/A,Psychotria viridis Ruiz & Pav.,"Forest of Porvenir, Alto Nanay",1929-10-00,1929-09-00,N/A,Handwritten,61.4121,3363,N/A,N/A,N/A,no type status,Llewellyn Williams,N/A,N/A,145 m.,Sept.-Oct. 1929,Psychotria viridis Ruiz & Pav.,"Forest of Porvenir, Alto Nanay"
N/A,T. Plowman,Peru,Cajamarca,Dry scrub forest on steep slopes,F. Fryxell,Abutilon mollissimum (Cav.) Sweet,"Road from Pucará to Chamaya, 21 kilometers east of Pucará, along Río Huancabamba",N/A,1986-07-12,N/A,Typed,1973380,14242,Jaén,"A. Sagástegui A., J. Mostacero L., F. R. Mejía, F. Peláez",N/A,no type status,"T. Plowman, A. Sagástegui A., J. Mostacero L., F. R. Mejía & F. Peláez",N/A,1987,700 m.,12 July 1986,Abutilon mollissimum (Cav.) Sweet,"Road from Pucará to Chamaya, km. 21 east of Pucará, along Río Huancabamba"
N/A,Magda Chanco,Peru,Cajamarca,N/A,N/A,Abutilon sp.,Chilet-San Pablo road about 15 kilometers from Chilet,2003-04-14,2003-04-14,N/A,Typed,2253555,N/A,N/A,"Michelle McMahon, Larry Hufford",N/A,no type status,Magda Chanco with Michelle McMahon and Larry Hufford,07° 10.554' S 78° 49.665' W,N/A,3614 feet elevation,14 April 2003,Abutilon sp.,Depto. Cajamarca: Chilet-San Pablo road about 15 km from Chilet.
N/A,Marcos Ríos,Peru,Loreto,Bosque de Planicie inundable aguas blancas,N/A,Andira macrothyrsa Ducke,"Quebrada Yanayacu-Río Blanco, Campamento Wissewind",N/A,2014-10-13,Dto. de Soplin,Typed,2818558,4399,Prov. Requena,"Tony Mori, Nigel Pitman, Luis Torres, Corine Vriesendorp",soil,no type status,Marcos Ríos,"05°33'35""S, 73°15'53""W",N/A,A.W. 90.,13 octubre 2014,Andira macrothyrsa Ducke,"Prov. Requena, Dto. de Soplin, Quebrada Yanayacu-Río Blanco, Campamento Wissewind del inventario rápido 27, de la región Tapiche-Blanco."
N/A,Marcos Ríos,Peru,Loreto,Bosque de Palme inundable de aguas blancas,N/A,Andira macrothyrsa Ducke,"Quebrada Yanayacu-Río Blanco, Campamento Wistincho",N/A,2014-10-13,N/A,Typed,2318537,4399,Requena,"Tony Mori, Miguel Huamán, Luis Torres, Corine Vriesendorp",N/A,no type status,"Marcos Ríos, Tony Mori, Miguel Huamán Luis Torres, Corine Vriesendorp","05°43'35""S 73°13'53""W",N/A,90,13 octubre 2014,Andira macrothyrsa Ducke,"Prov. Requena, Dto. de Soplin. Quebrada Yanayacu-Río Blanco. Campamento Wistincho del intervatio rípido 27, de la región Tamañco-Blanco"
N/A,Ynes Mexia,Peru,Huanuco,Forested slope above road,N/A,Piper oblongum Ruiz & Pavon,Near confluence Rio Cayumba with Huallaga,1936-10-09,1936-10-09,N/A,Typed,1066996,8265,N/A,N/A,N/A,no type status,Ynes Mexia,N/A,N/A,805 m.,"Oct. 9, 1936",Piper oblongum Ruiz & Pavon,Near confluence Rio Cayumba with Huallaga; forested slope above road.
N/A,Ynes Mexia,Peru,Loreto,Dense forest,Trelease,Piper callisum Ruiz & Pav.,"Above Pongo de Manseriche, right bank of mouth of Rio Santiago",1931-11-24,1931-11-24,N/A,Typed,872277,6127,N/A,N/A,N/A,no type status,Ynes Mexia,N/A,N/A,200 meters,"Nov. 24, 1931",Piper callisum Ruiz & Pav.,Above Pongo de Manseriche. Right bank of mouth of Rio Santiago; dense forest.
N/A,Donald R. Simpson,Peru,Tumbes,"Common from the dry, deciduous forest zone, downward into the very dry thorn-scrub. Along the road about 10 km. northwest of El Caucho",D. E. Simpson,Ipomoea carnea Jacq.,"Bosque Nacional de Tumbes, near El Caucho, between El Caucho and Pampa de Hospital",N/A,1958-01-04,N/A,Typed,1897948,565,N/A,José Schunke V.,N/A,no type status,Donald R. Simpson & José Schunke V.,N/A,Jan. 1969,N/A,"January 4, 1958",Ipomoea carnea Jacq.,"Bosque Nacional de Tumbes: Región de ""bosque muy seco tropical"" (sensu Tosi, 1960) cerca de El Caucho entre El Caucho y Pampa de Hospital."
N/A,T. Plowman,Peru,Huánuco,Roadside near houses,A. McDonald,Ipomoea carnea Jacq.,8 kilometers northeast of Huánuco on road to Tingo María,N/A,1981-12-06,N/A,Typed,.1896900,11105,N/A,P. M. Rury,N/A,no type status,T. Plowman & P. M. Rury,"Approx. 9°52'S., 76°11'W.",1983,1750 m.,6 December 1981,Ipomoea carnea Jacq.,Dept. Huánuco: Prov. Huánuco. 8 km. northeast of Huánuco on road to Tingo María.
N/A,Robin B. Foster,Peru,Loreto,Forested hills on white or brown sand soils,E.J. Gouda,Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez,Caserio Mahana 30 kilometers southwest of Iquitos,N/A,1978-08-19,N/A,Typed,1852637,4262,Maynas,N/A,soil,no type status,Robin B. Foster,N/A,2018-02-05,N/A,"Aug. 19, 1978",Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez,Caserio Mahana 30km SW of Iquitos
N/A,J. Farfán,Peru,Cusco,"Bosque Secundario. Epífita, hasta 70 cm, espadice rojo, espata verde",Thomas B. Croat,Anthurium clavigerum Poepp.,"Dist. Vilcabamba, Chaunquiri camino a Rioamba",N/A,2006-10-23,N/A,Typed,2315782,1262,La Convención,"L. Valenzuela, I. Huamantupa, A. Carazas, L. Aragón",N/A,no type status,"J. Farfán, L. Valenzuela, I. Huamantupa, A. Carazas, L. Aragón","12°47'15""S 073°10'10""W",2008,1009 m,23 Octubre 2006,Anthurium clavigerum Poepp.,"Dist. Vilcabamba, Chaunquiri camino a Rioamba, Bosque secundario"
N/A,Thomas B. Croat,Peru,Loreto,Sandy area,N/A,Agave americana L.,12.5 kilometers southwest of Iquitos on road to Lago Quistococha,N/A,1972-07-18,N/A,Typed,1759629,28120,N/A,N/A,soil,no type status,Thomas B. Croat,N/A,N/A,N/A,"July 18, 1972",Agave americana L.,Sandy area 12.5 km SW of Iquitos on road to Lago Quistococha
N/A,T. R. Dudley,Peru,Cusco,"In full sun on old open landslide, just above the cloud forest",Alan R. Smith,Thelypteris dudleyi R. A. Smith,"In full sun on old open landslide, just above the cloud forest, between camp 4&5; almost to Camp 5",1968-07-04,1968-07-04,N/A,Typed,1719861,10783,La Convencion,N/A,soil,Isotype,T. R. Dudley,12° 37' S; 73° 32' W,1989,ca. 2825 m,4 July 1968,Thelypteris dudleyi R. A. Smith,"In full sun on old open landslide, just above the cloud forest, between camp 4&5; almost to Camp 5; at ca. 2825 m; one of the commonest colonizers of landslide."
N/A,S. Knapp,Panama,Colón,Tropical wet forest,Robert G. Stolze,Trichipteris pinnata Stolze,"Santa Rita Ridge road, 21-26 kilometers from Transisthmian Highway",1982-07-04,1982-07-04,N/A,Typed,N/A,5881,N/A,N/A,soil,Holotype,S. Knapp,"9°25'N, 79°37'W",1984,500-550 m,4 July 1982,Trichipteris pinnata Stolze,"Santa Rita Ridge road, 21-26 km from Transisthmian Highway"
N/A,J. Dorantes,Mexico,Veracruz,"Bosque caducifolio, suelo rojo arcilloso, muy abundante helecho perenne veg. riparia",N/A,Woodardia spinulosa Mart. & Gal.,Llto del Gato,1972-01-01,1972-01-01,Jalapa,Typed,P005051,455,N/A,N/A,soil,no type status,J. Dorantes,N/A,N/A,N/A,01/01/1972,Woodardia spinulosa Mart. & Gal.,"Llto del Gato, Mun. Jalapa"
N/A,A. Monteagudo,Peru,Pasco,Bosque ribereño,H. van der Werff,Blechnum occidentale L.,"Distrito Pozuzo, Parque Nacional Yanachaga Chemillen, Pozuzo Sector Pan de Azúcar, Zona de Recuperación",N/A,2003-04-10,N/A,Typed,N° 2287355,4909,Oxapampa,"C. Mateo, G. Ortiz",roca,no type status,"A. Monteagudo, C. Mateo, G. Ortiz",10°15' 75°13'W,2005,1100-1250m,10 Abril 2003,Blechnum occidentale L.,"Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación. Bosque ribereño."
N/A,Ynes Mexia,Peru,Cuzco,in virgin forest,Copeland,Adiantum pulverulentum L.,"upper valley of Rio Sambrey; western affluent of Vilcanota, along stream",1936-05-14,1936-05-14,N/A,Typed,1045396,8066,La Convencion,N/A,soil,no type status,Ynes Mexia,N/A,N/A,about 1800 m.,"May 14, 1936",Adiantum pulverulentum L.,"Departamento Cuzco, Provincia La Convencion; upper valley of Rio Sambrey; western affluent of Vilcanota, along stream in virgin forest"
Liquidambar styraciflua; Quercus sp.; Alnus sp.,J.i. Calzada,México,Veracruz,Bosque Caducifolio muy húmedo,Robert G. Stolze,Diplazium francoisii Lellinger,Ranchoita de Coateitlán,1980-01-21,1980-01-21,N/A,Typed,1894963,5759,Xico,N/A,suelo,no type status,J.I. Calzada,19°29' N 97°04' W,1983,1820 m.s.n.m.,21-enero-1980,Diplazium francoisii Lellinger,Ranchoita de Coateitlán
N/A,Antonio Molina R.,Honduras,N/A,Helecho arboreo. Bosque lluvioso,Alan R. Smith,Thelypteris rudis (Kunze) Proctor,"Bosque lluvioso norte de la Mt. Uyuca, caminos flotables, Labranza y Quebrada Bonita, 10 kilometers southwest of Tegucigalpa",1948-11-04,1948-11-04,N/A,Typed,1394536,1427,N/A,N/A,N/A,no type status,Antonio Molina R.,N/A,1974,1800 m.,"Nov. 4, 1948",Thelypteris piloso-hispida (Hook) Morton,"Helecho arboreo. Bosque lluvioso norte de la Mt. Uyuca, caminos flotables, Labranza y Quebrada Bonita, 10 km. al SW. de Tegucigalpa."
N/A,Blom,Peru,Cuzco,N/A,Robert G. Stolze,Thelypteris euchlora (Sod.) R.M. Tryon,"Bosque de Nubes, Rio Tono, Union",N/A,1991-09-10,N/A,Typed,2112158,2911,Paucartambo,"Young, Illaupay",N/A,no type status,"Blom, Young & Illaupay",N/A,1992,1700-1800 m,10 setiembre 1991,Thelypteris euchlora (Sod.) R.M. Tryon,"Bosque de Nubes, Rio Tono, Union. 1700-1800 m"
N/A,Louis O. Williams,Nicaragua,Matagalpa,"Montane rain forest, or cloud forest",R. Stolze,Grammitis blepharodes (Maxon) Seymour,"Montane rain forest, or cloud forest, Dipartamento de Potter, Sta. María de Ostuma",N/A,1965-01-15,N/A,Typed,1626179,27621,N/A,"Antonio Molina R., Terua P. Williams, Darsey H. Gibson, Chester Lukaszewski",mossy tree,no type status,"Louis O. Williams, Antonio Molina R., Terua P. Williams, Darsey H. Gibson, and Chester Lukaszewski",N/A,1965,ca. 1000 m.,"January 15, 1965",Polypodium blepharodes Maxon,"Montane rain forest, or cloud forest, Dipartamento de Potter, Sta. María de Ostuma, Cordillera Central de Nicaragua, Department of Matagalpa, ca. 1000 m."
N/A,Ken Young,Peru,Cuzco,Terrestrial,A.R. Smith et al.,Amauropelta smithii (J. Prado & R.C. Moran) A.R. Sm. et al.,"Just east of Quillabamba, Finca Chibinima",N/A,1981-04-20,N/A,Typed,2038794,265,La Convencion,Mark Eisenberg,soil,no type status,Ken Young & Mark Eisenberg 265,N/A,N/A,1300-1400 m,20 April 1981,Thelypteris (subg. Amauropelta) Amauropelta smithii (J. Prado & R.C. Moran) A.R. Sm. et al.,"Just east of Quillabamba. Finca Chibinima; cocoa; coffee; yuca, mango; bananas; corn crops 90%W."
N/A,Thomas G. Lammers,United States of America,Illinois,Local in mesic maple-basswood forest on steep slopes of deep ravine,N/A,Dryopteris carthusiana (Vill.) H.P. Fuchs,"Swallow Cliff Woods Forest Preserve, southwest of the junction of US Highway 45 and State Highway 83",1998-05-09,1998-05-09,Palos Township,Typed,2228497,10674,Cook,N/A,soil,no type status,Thomas G. Lammers,N/A,N/A,N/A,9 May 1998,Dryopteris carthusiana (Vill.) H.P. Fuchs,"Cook Co.: Palos Twp. Swallow Cliff Woods Forest Preserve, southwest of the jct. of US Hwy 45 and State Hwy 83. Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run."
N/A,Louis O. Williams,El Salvador,Santa Ana,Epífita,A. Molina,Polypodium montigenum Maxon,Bosque abierto de Montaña Montecristo,N/A,1963-05-22,N/A,Typed,1661895,121562,N/A,Antonio Molina R.,N/A,no type status,"Louis O. Williams, Antonio Molina R.",N/A,N/A,2100 m.,"Mayo 22, 1963",Polypodium montigenum Maxon det. A. Molina,"Bosque abierto de Montaña Montecristo, Department Santa Ana, Alt. 2100 m."
N/A,M. O. Dillon,Chile,Antofagasta,"Terrestrial, growing in rock crevices",N/A,Notholaena mollis Kunze,"Cerro Perales, approximately 8.5 kilometers east of Taltal",N/A,1987-12-21,N/A,Typed,2010984,5376,N/A,N/A,rock,no type status,M. O. Dillon,"(25°25' S, 70°25' W)",N/A,600-850 m,21 Dec 1987,Notholaena mollis Kunze,"Cerro Perales, ca. 8.5 km E of TalTal, 600-850 m alt."
N/A,Rolla M. Tryon,Peru,Ancash,damp shaded rocks,Alan R. Smith,Thelypteris rudis (Poir.) A.R. Smith,"Road from Huaras to Cusma, west valley",N/A,1965-10-23,N/A,Typed,1833066,6566,N/A,Alice F. Tryon,rock,no type status,Rolla M. Tryon & Alice F. Tryon,N/A,"1979, '82",2800 m.,23 October 1965,Thelypteris lindigii (C.Chr.) Alston,"Road from Huaras to Cusma, west valley."
N/A,E. P. Killip,Peru,Loreto,Dense forest,Alan R. Smith,Thelypteris pentagona (Poiret) C. V. Morton,"Soledad, on Rio Itaya",1929-09-29,1929-09-20,Soledad,Typed,1520683,24774,N/A,A. C. Smith,N/A,no type status,E. P. Killip & A. C. Smith,N/A,1989,N/A,"September 20-29, 1929",Thelypteris megalolepis (Schl.) C. V. Morton,"Dept. Loreto: Soledad, on Rio Itaya; about 100 meters dense forest"
N/A,H. E. Stork,Peru,Loreto,dense forest,Alan R. Smith,Thelypteris pennata (Poir.) C. Morton,"San Antonio, on Rio Itaya",N/A,N/A,San Antonio,Typed,1520667,42474,N/A,N/A,N/A,no type status,H. E. Stork,N/A,June 1989,about 100 meters,N/A,Thelypteris pennata (Poir.) C. Morton,"Dept. Loreto: San Antonio, on Rio Itaya; alt. about 100 meters; dense forest"
N/A,Macbride,Peru,N/A,In shrub formation,Alan R. Smith,Thelypteris pavoniana (Kl.) Tryon,Summit Mt. Ledge of the grass,1922-07-22,1922-07-08,Mito,Typed,518129,1622,N/A,Featherstone,N/A,no type status,Macbride & Featherstone,N/A,1979,about 9000 ft.,"July 8-22, 1922",Dryopteris Peruviana (Hk.) C. Chr.,"Summit Mt. Ledge of the grass, about 9000 ft. in shrub formation."
N/A,J. J. Wurdack,Peru,Amazonas,"On banks, locally frequent",Alan R. Smith,Thelypteris pavoniana (Klotzsch) Tryon,Upper slopes of Puma-urcu east-southeast of Chachapoyas,1962-06-00,1962-06-00,N/A,Typed,1647265,705,Provincia de Chachapoyas,N/A,soil,no type status,J. J. Wurdack No. 705,N/A,"1979, 1989",elev. 2700-3000 m.,June 1962,Thelypteris (Thelypteris) pavoniana (Klotzsch) Tryon,"Upper slopes of Puma-urcu east-southeast of Chachapoyas, elev. 2700-3000 m."
N/A,E. C. Ogden,Peru,Loreto,In old banana planting,Alan R. Smith,Thelypteris opulenta (Kaulf.) Proctor,"Rio Itaya, 10 kilometers south of Iquitos, in old banana planting",N/A,1966-08-13,N/A,Typed,1587072,5202,Maynas,R. C. Moran,soil,no type status,E. C. Ogden and R. C. Moran,N/A,1979,N/A,"Aug. 13, 1966",Thelypteris opulenta (Kaulf.) Proctor,"Rio Itaya, 10 km. S. of Iquitos. In old banana planting."
N/A,Louis O. Williams,Nicaragua,Matagalpa,Terrestrial on open bank,C. V. Morton & D. B. Lellinger,Lycopodium clavatum L.,"Cloud forest area, Sta. María de Ostuma, Cordillera Central de Nicaragua between Matagalpa and Jinotega",1968-12-19,1968-12-18,N/A,Typed,1604388,23634,N/A,"Antonio Molina R., Terua P. Williams",soil,no type status,"Louis O. Williams, Antonio Molina R., Terua P. Williams",N/A,1964,1300-1800 meters,18-19 Dec. 1968,Lycopodium clavatum L.,"Cloud forest area, Sta. María de Ostuma, Cordillera Central de Nicaragua between Matagalpa and Jinotega, Department of Matagalpa, 1300-1800 meters"
N/A,John T. Atwood,Nicaragua,Granada,Lower cloud forest,M.R. McCarthy,Adiantum ecklonii McCarthy & Hickey,"Volcan Mombacho, near Finca Cuirtre",1977-02-08,1977-02-08,N/A,Typed,1868242,77105,N/A,N/A,N/A,no type status,"John T. Atwood, Jr.",N/A,2012,N/A,8 Feb. 1977,Adiantum trapeziforme L.,"Volcan Mombacho, Lower cloud forest near Finca Cuirtre,"
N/A,Geo. B. Hinton,Mexico,Temascaltepec,Dry barranca,M. Palacios-Rios,Adiantum ebenoides Maxon ex C.V. Morton & Lellinger,Pantzo,N/A,1936-00-00,N/A,Typed,N/A,7644,N/A,N/A,N/A,no type status,Geo. B. Hinton et al.,N/A,Agosto/1986,N/A,Date-21-36,Adiantum trapeziforme L.,Pantzo
N/A,R. A. Maas Geesteranus,Kenya,Nyanza Province,"Riparian-woodland along the river Itare, among others with Conopodium holstii",R. Faden,Asplenium sandersonii Hook.,"South Nandi Forest Reserve, camp 8",N/A,1969-08-12,N/A,Typed,1445440,5744,Kericho Distr.,N/A,soil,no type status,R.A. Maas Geesteranus,"lat. 0°36'30"" S., long. 35°10'20"" E.",1976,1920 m,dd. 12-VIII-69,Asplenium sandersonii Hook.,"South Nandi Forest Reserve, camp 8"
N/A,S. Lopez P.,Guatemala,Jalapa,creciendo dentro de bosque de Quercus sp.,M. Véliz & J.M. Véliz,Lophosoria quadripinnata var. quadripinnata,"Aldea San Raymundo, en Manzanillos",N/A,1989-05-01,"Aldea San Raymundo, en Manzanillos",Typed,2298970,433,N/A,E. Enríquez,soil,no type status,S. Lopez P. & E. Enríquez,"14° 38' 47"" N, 90° 06' 10"" O",22/IX/2005,2308 msnm,1 Mayo 1989,Lophosoria quadripinnata (J.F. Gmel.) C. Chr. var quadripinnata,"Aldea San Raymundo, en Manzanillos"
N/A,Allison V. Armour,Jamaica,N/A,N/A,N/A,Asplenium dentatum L.,Port Antonio,1900-02-06,1900-01-20,Port Antonio,Typed,N/A,893,N/A,N/A,N/A,no type status,"Allison V. Armour, Esq., Owner and Master",N/A,N/A,N/A,Jan. 20-Feb. 6,Asplenium dentatum L.,Port Antonio; Jan. 20-Feb. 6
N/A,T. G. Yuncker,Jamaica,St. Andrew,side of cut,N/A,Lycopodium cernuum L.,trail near Bellevue,1957-11-17,1957-11-17,N/A,Typed,1482756,"No. 17,429",N/A,N/A,N/A,no type status,T. G. Yuncker,N/A,N/A,3000-4000 ft.,"Nov. 17, 1957",Lycopodium cernuum L.,"Scrambling over side of cut, along trail near Bellevue. Alt. 3000-4000 ft."
N/A,Carvalho,Guinea Ecuatorial,Bioco,margins of the road,J. Fernández Casas,Lycopodiella cernua (L.) Pic. Serm.,"Malabo - Basile, km 13, near Basile",1986-04-25,1986-04-25,Basile,Typed,2201362,2092,N/A,N/A,soil,no type status,Carvalho 2092,32NMK7880,1991,390 m,25-IV-1986,Lycopodiella cernua (L.) Pic. Serm.,"Malabo - Basile, km 13, cerca de Basile, 32NMK7880, 390 m, márgenes de la carretera, Carvalho 2092, 25-IV-1986. Postrada. Forma pequeñas colonias dispersas."
N/A,Henk van der Werff,Australia,Queensland,Rainforest,Henk van der Werff,Diplazium assimile (C. Presl) Bedd.,"Boonjee logging area, at base of Mount Bartle Frere",1990-06-12,1990-06-12,N/A,Typed,2094887,11699,N/A,N/A,soil,no type status,Henk van der Werff 11699,145°43'E 17°25'S,1991 (MO),N/A,12 June 1990,Diplazium assimile (C. Presl) Bedd.,"Boonjee logging area, at base of Mt. Bartle Frere. Rainforest."
N/A,M. Togawa,Japan,Kyushu,Wet rocky slope in densely wooded ravine,N/A,Diplazium umbilicatum (Tag.) Tag.,"western slope of Mt. Koyachi, south of Kanoya City",N/A,1956-07-28,N/A,Typed,1475055,1150,Kagoshima,K. Iwatsuki,rock,no type status,M. Togawa & K. Iwatsuki,N/A,N/A,N/A,"July 28, 1956",Diplazium umbilicatum (Tag.) Tag.,"Kyushu, Pref. Kagoshima: western slope of Mt. Koyachi, south of Kanoya City"
N/A,W. Takeuchi,Papua New Guinea,New Ireland,"Montane rainforest, forest dominated by bryophyte and fern growth",N/A,Blechnum ledermannii Brause,"Hans Meyer Range, Site 4",N/A,1994-02-05,N/A,Typed,02502643,9366,N/A,J. Wiakabu,soil,no type status,W. Takeuchi & J. Wiakabu,4°25' S x 152°39' E,N/A,c. 1800 m,"February 5, 1994",Blechnum ledermannii Brause,"New Ireland: Hans Meyer Range, Site 4 on the expedition report."
N/A,Tagawa,Japan,N/A,N/A,N/A,Dryopteris crassirhizoma Nakai,[precise locality unknown],N/A,1956-05-20,N/A,Typed,N/A,888,N/A,Iwatsuki,N/A,no type status,Tagawa & Iwatsuki 888,N/A,N/A,N/A,"May 20, 1956",Dryopteris crassirhizoma Nakai,N/A
N/A,J. Ohwi,Japan,Honshu,N/A,N/A,Polystichum tripteron Presl,Jumoji in Sagami,1951-04-00,1951-04-00,Jumoji in Sagami,Typed,1464206,202,N/A,N/A,N/A,no type status,J. Ohwi,N/A,N/A,N/A,April 1951,Polystichum tripteron Presl,Honshu: Jumoji in Sagami
N/A,Father M. Vanoverbergh,Philippines,Bontoc Subprovince,N/A,N/A,Asplenium ontogenium Kaulf.,"Bontoc Subprovince, Luzon",1913-04-13,1913-04-13,N/A,Typed,393429,8591,N/A,N/A,N/A,no type status,Father M. Vanoverbergh,N/A,N/A,N/A,April 13,Asplenium ontogenium Kaulf.,"Bontoc Subprovince, Luzon"
