collectedBy,secondaryCollectors,recordNumber,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,locality,habitat,verbatimElevation,otherCatalogNumbers,originalMethod,typeStatus
J. M. Fitzpatrick,D. E. Willard,s.n.,1981-12-04,N/A,Hypnella pilifera (Hook. & Wils.) Jaeg.,Hypnella pilifera,N/A,N/A,N/A,Peru,Cusco,N/A,N/A,"Slopes above Pillahuata, near kilometer 126 on Cospipata Highway, 2850 meters [precise locality unknown]",Extremely mossy elfin cloud forest near shallow ravine,2850 m.,1059455,Typed,no type status
S. P. Churchill,N/A,18335,1992-07-11,N/A,Hypnella diversifolia (Mitt) Jaeg,Hypnella diversifolia,S. P. Churchill,N/A,N/A,Colombia,Antioquia,N/A,N/A,"Road to Pueblo Nuevo, Ventanas [precise locality unknown]","On talud, in secondary montane forest",alt 1950 m,1139992,Typed,no type status
E. B. Bartram,N/A,34056,1953-01-07,N/A,PASS,Hypnella cymbifolia,N/A,N/A,N/A,Venezuela,Bolivar,N/A,N/A,[precise locality unknown],Fruiting scantily on logs Occasional in rain-forest between Camps 2 and 3,PASS,1026299,PASS,no type status
PASS,N/A,4720,1981-07-30,N/A,PASS,Hypnella pallescens,N/A,N/A,N/A,Peru,Pasco,N/A,N/A,PASS,In Weinmannia forest,PASS,1059403,Typed,no type status
J. J. Wurdack,N/A,34305,1953-02-11,N/A,Frullania cuspidifolia (Hpe.) Jaeg.,Frullania cuspidifolia,S. R. Hartram,N/A,N/A,Venezuela,Bolívar,N/A,N/A,Frequent on fallen logs in forest between Camps 3 and 2,Forest,elev. 1250 - 1200 m.,1026300,Typed,no type status
T. Husnot,N/A,s.n.,N/A,N/A,Weisia compacta Brid.,Weisia compacta,N/A,N/A,N/A,France,Orne,N/A,Calais,"Calais, near Athis",Rochers schisteux de la Saboterie,N/A,1084497,Mix of Handwritten and Typed,no type status
H. Inoue,N/A,s.n.,1973-01-11,N/A,Macromitrium japonicum Doz. et Molk.,Macromitrium japonicum,Z. Iwatsuki,N/A,Pinus thunbergii,Japan,N/A,N/A,N/A,"Around Shirahama, Iriomote Island, Ryukyu Islands [precise locality unknown]",On bark of Pinus thunbergii,elevation about 10 m,1021837,Typed,no type status
L. B. Smith,N/A,2464,1956-03-17,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,N/A,N/A,N/A,Brazil,Santa Catarina,N/A,Bom Retiro,Campo dos Padres [precise locality unknown],rupestre,1950 msm,N/A,Mix of Handwritten and Typed,no type status
J. P. Frahm,N/A,s.n.,1977-07-22,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,Frahm,N/A,N/A,Brazil,São Paulo,N/A,São José dos Barreiros,"Serra do Bocaina, lee side, on the road from Campos da Cunha to São José dos Barreiros [precise locality unknown]",epiphytisch im Podocarpus-Wald,1200 msm,1026026,Typed,no type status
F. Reitz,N/A,3912,1953-01-20,N/A,Campylopus atrouirens (Hornsch) Broth,Campylopus atrouirens,N/A,N/A,N/A,Brazil,Santa Catarina,N/A,Itajaí,Morro do Bau [precise locality unknown],rupestre,Altit 900 msm,N/A,Mix of Handwritten and Typed,no type status
Schäfer-Verwimp,N/A,9019,1987-09-05,N/A,Campylopus griseus (HORNSCH.) JAEG.,Campylopus griseus,Schäfer-Verwimp,N/A,N/A,Brazil,São Paulo,N/A,N/A,Pedra Grande near Atibaia [precise locality unknown],"Campo vegetation in summit area, shady rock face",1400 msm,1097651,Typed,no type status
J. P. Frahm,N/A,s.n.,1982-09-06,N/A,Campylopus heterostachys (Hamp.)Jaeg.,Campylopus heterostachys,N/A,N/A,N/A,Peru,Amazonas,N/A,N/A,"Cajamarca - Chachapoyas road km 417.5 above Leimebamba, on overgrown boulder in cloud forest [precise locality unknown]",cloud forest,2655 m,1053590,Typed,no type status
