Dataset Source,accessURI,modifiedBy,verifiedBy,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,,,0000_V0573776F.jpg,E. Heller & Mearns,E. Heller,Mearns,8752,"Jan. 16 to Feb. 2, 1909",1909-01-16,1909-02-02,Cyperus maculatus Boeck.,Cyperus maculatus Boeck.,N/A,19.10.1912,N/A,Congo Free State,N/A,N/A,N/A,"""Rhino Camp"", Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp"", Bahr el Jebel, Lado Enclave",N/A,N/A,N/A,N/A,463860,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2522/077/V0590787F.jpg,,,0049_V0590787F.jpg,D.D. Soejarto,D.D. Soejarto,N/A,4793,"April 1, 1978",1978-04-01,N/A,Diospyros tricolor Hiern.,Diospyros tricolor Hiern.,N/A,N/A,Thespesia populnea and Sophora accidentalus,Ghana,Greater Accra Province,N/A,Botianor village,"20 km. west of Accra, sea coast.","20 kilometers west of Accra, sea coast",sandy soil,soil,N/A,N/A,1842606,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/39/558/V0040586F.jpg,,,0050_V0040586F.jpg,Narciso Reyna B.,Narciso Reyna,N/A,49,15 diciembre 1967,1967-12-15,1967-12-15,"""Carahuasca amarilla"" - arbol, bosque húmedo tropical",Gustavia scalarinervia,D.R. Simpson,1975,N/A,Peru,Loreto,N/A,Santa María de Nanay,"Santa María - Río Nanay, distr. Alto Nanay, dept. Loreto, prov. Maynas.","Santa María - Río Nanay, district Alto Nanay",Bosque húmedo tropical,soil,150 m,N/A,1734105,Typed,Holotype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/613/620/V0081497F.jpg,,,0051_V0081497F.jpg,M. O. Dillon & D. Dillon,M. O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,N/A,Galvezia fruticosa Gmel.,Galvezia eisensonii M.O. Dillon & Quipuscoa,M. O. Dillon & Quipuscoa,N/A,N/A,Peru,Arequipa,Caraveli,N/A,"Lomas of Atiquipa, ca. 105 km N of turn-off to Atiquipa, km 584 S of Lima","Lomas of Atiquipa, 105 kilometers north of turn-off to Atiquipa, kilometer 584 south of Lima",N/A,N/A,ca. 150-200 m.,N/A,1940835,Typed,holotype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/40/414/V0042484F.jpg,,,0052_V0042484F.jpg,N/A,Ernest Friedrich Gilg,N/A,N/A,1876,1876-00-00,N/A,Tetractinium rubrivernium Miq. var. genuinum Miq. det. F. Pax,Tetractinium rubrivernium var. genuinum Miq.,F. Pax,N/A,N/A,N/A,N/A,N/A,N/A,Andes s. Amer. austr.,[precise locality unknown],N/A,N/A,N/A,N/A,875422,Handwritten,Isosyntype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/281/725/V0092855F.jpg,,,0053_V0092855F.jpg,José Campos & O. Díaz,José Campos,O. Díaz,2490,9 Febrero 1996,1996-02-09,N/A,Amorimia camporum W.R. Anderson,Amorimia camporum W.R. Anderson,W. R. Anderson,17 Sep. 2006,N/A,Peru,Cajamarca,San Ignacio Province,N/A,Distrito Chirinos: Entre La Catacua y Tablón.,Entre La Catacua y Tablón,Trepadora; flor amarilla.,N/A,550 - 650,05°19'S - 078°47'W,2296033,Typed,ISOTYPE
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/155/067/V0078059F.jpg,,,0054_V0078059F.jpg,Ruiz & Pavón,Ruiz,Pavón,N/A,(1777-1788),1777-00-00,1788-00-00,Nolana spathulata Ruiz & Pav.,Nolana spathulata Ruiz & Pav.,M. A. M.,Fl. Neotrop. 26: 136 1981,N/A,Peru,N/A,N/A,N/A,Plantae a Ruiz et Pavón in vice-regno Peruvianno et Chilensi lectae.,[precise locality unknown],N/A,N/A,N/A,N/A,845155,Typed,Isolectotype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/281/732/V0092864F.jpg,,,0055_V0092864F.jpg,Camilo Díaz & Antonio Peña B000,Camilo Díaz,Antonio Peña,B000,4 Diciembre 1996,1996-12-04,N/A,Symplocos ovata Stahl,Symplocos ovata Stahl,B. Stahl (GB:G-DEL:S.U.),"Novon 20(1): 91, fig. 4A-B. 2010",N/A,Peru,Amazonas,Luya Province,N/A,"Camporredondo, Tullanya, Pascana ""Pájaro Tigre""","Camporredondo, Tullanya, Pascana ""Pájaro Tigre""",N/A,N/A,2850–2360 m,N/A,2296023,Typed,Isotype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/283/142/V0092900F.jpg,,,0056_V0092900F.jpg,Ruiz et Pavón,Ruiz,Pavón,N/A,1775-1788,1775-00-00,1788-00-00,Bomarea purpurea (Ruiz & Pavón) Herb.,Bomarea purpurea (Ruiz & Pavón) Herb.,Hofreiter,N/A,N/A,Peru,N/A,N/A,Pillao,Pillao,Pillao,N/A,N/A,N/A,N/A,"916119, 290201",Typed,Isotype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/283/147/V0092906F.jpg,,,0057_V0092906F.jpg,"V. Quipuscoa S., A. Sagástegui A., S. Leiva G. & M. Bejarano C.",V. Quipuscoa S.,"A. Sagástegui A., S. Leiva G., M. Bejarano C.",13778,20 agostos 1998,1998-08-20,1998-08-20,Lithospermum cinerascens (A.DC.) Johnst.,Lithospermum leymebambense Weigend & Nürk. sp. nov. ined.,Weigend M. & Nürk,"Taxon <> (s/n), acc. s.type 2006",N/A,Peru,Amazonas,Leymebamba,N/A,"Carretera a Celendín, entre Ishpingo - Pomacocha. Bosque montano fragmentado.","Carretera a Celendín, entre Ishpingo - Pomacocha",Bosque montano fragmentado,soil,2800-3000 m,N/A,2211679,Mix of Handwritten and Typed,Isotype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/283/156/V0092915F.jpg,,,0058_V0092915F.jpg,Llewellyn Williams,Llewellyn Williams,N/A,6999,"Jan.-Feb., 1929",1929-01-00,1929-02-00,Maranta arundinacea L.,Maranta arundinacea L.,N/A,N/A,N/A,Peru,San Martin,N/A,N/A,N/A,[precise locality unknown],"forest, roque",soil,1000-1800 m.,N/A,624474,Mix of Handwritten and Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/283/160/V0092918F.jpg,,,0059_V0092918F.jpg,Plantae a Ruiz et Pavón in vice-regno Peruviano et Chilensi lectae.,Ruiz et Pavón,N/A,N/A,(1778-1788),1778-00-00,1788-00-00,Marcgravistrum obovatum (R & P) D. Don,Marcgraviastrum obovatum (G. Don) Bedell,G. Bedell,Utrecht VIII. 1982,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,843295,Typed,Isotype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/283/163/V0092921F.jpg,,,0060_V0092921F.jpg,Ruiz & Pavón,Ruiz,Pavón,N/A,in vice-regno Peruvianno ad Chilesin lectae (1777-1788),1777-00-00,1788-00-00,Marcgraviastrum obovatum (L.f.) Bedell = Marcgravia obovata L.,Marcgraviastrum obovatum (L.f.) Bedell,H. G. Bedell,Utrecht VIII 1982,N/A,Peru,N/A,N/A,N/A,in vice-regno Peruvianno ad Chilesin lectae,[precise locality unknown],N/A,N/A,N/A,N/A,842882,Typed,Isotype
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/679/934/V0190732F.jpg,,,0061_V0190732F.jpg,Robin B. Foster,Robin B. Foster,N/A,8752,13 Sept. 1982,1982-09-13,1982-09-13,Aciotis venezuelanus (Pax & K. Hoffm.) Webster,Aciotis venezuelanus (Pax & K. Hoffm.) Webster,M.J. Huft,1983,N/A,Peru,Huánuco,N/A,N/A,"Pachitea: Puerto Inca to Sungaro, Forest trail between Río Pachitea and Río Sungaro, Forested low hills and ravines, alt. 250-300m. 7°50'W, 9°18'S.","Puerto Inca to Sungaro, forest trail between Río Pachitea and Río Sungaro",Forested low hills and ravines,N/A,alt. 250-300m,"7°50'W, 9°18'S",No. 1921102,Mix of Handwritten and Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/791/904/V0277652F.jpg,,,0062_V0277652F.jpg,José Schunke Vigo,José Schunke Vigo,N/A,6505,27 May 1964,1964-05-27,1964-05-27,"Tontelea chachapoyensis, Lardizabalaceae (border on Chachapoyas) formerly in Celastraceae family tree, with edible fruits, used for storing water",Tontelea chachapoyensis,A. M. W. Mennega,III 1972,N/A,Peru,San Martín,N/A,N/A,"San Martín: Quebrada Huicte (rio Huallaga), in tall forest",Quebrada Huicte,tall forest,N/A,529 alt.,N/A,1751666,Mix of Handwritten and Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/586/997/V0152152F.jpg,,,0063_V0152152F.jpg,Manuel Rimachi Y.,Manuel Rimachi Y.,N/A,4268,"February 8, 1979",1979-02-08,N/A,Nectandra krukovii (A.C. Smith) Kosterm.,Endlicheria anomala (Nees) Mez,"A. C. Chanderbali (Triplaris), 2001",2001,N/A,Peru,Loreto,Requena,Saquena,"Dtto. Saquena. Rio Ucayali, Quebrada de Aucayacu, above Genaro Herrera, marginal forest, ""muena,"" 8 m tall, fr. green.","Quebrada de Aucayacu, above Genaro Herrera","marginal forest, ""muena""",N/A,N/A,N/A,2058606,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/802/677/V0277223F.jpg,,,0064_V0277223F.jpg,Salvador Flores P.,Salvador Flores P.,N/A,95 (P-2),Julio/82,1982-07-00,1982-07-00,Farquharia angulata Tul.,Farquharia angulata Tul.,T. Plowman 1985,N/A,N/A,Peru,Loreto,Maynas,N/A,Ampiyacu-Pevas,Ampiyacu-Pevas,Bosque secundario 35 años,N/A,100 m.s.n.m.,N/A,1968315,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/694/649/V0195906F.jpg,,,0065_V0195906F.jpg,Percy Nuñez V. & S. Walsh,Percy Nuñez V.,S. Walsh,6330,29 October 1986,1986-10-29,1986-10-29,Euphorbia heterophylla L.,Euphorbia heterophylla L.,M. J. Huft,1987,N/A,Peru,Cuzco,La Convención,Quillabamba,"Quillabamba, Salsipampa","Quillabamba, Salsipampa",N/A,soil,Alt. 1110 m.,N/A,N° 1982606,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/904/057/V0290180F.jpg,,,0066_V0290180F.jpg,Jose Schunke,Jose Schunke,N/A,9560,30 Mayo 1977,1977-05-30,1977-05-30,"""Palicourea"" ""Marco-Suqcha""",Palicourea sp.,J. Dyer,1980,N/A,Peru,San Martín,San Martín,N/A,"San Juan de Pacaiasapa, km. 72 carretera Tarapoto-Yoyobamba","San Juan de Pacaiasapa, 72 km on the road Tarapoto-Yoyobamba","En bosque secundario, con abundante luz solar.",soil,1000-1050 m,N/A,1872133,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/674/331/V0201636F.jpg,,,0067_V0201636F.jpg,"G. Tobar, J. Luna, J. Ruiz",G. Tobar,"J. Luna, J. Ruiz",138,18-8-81,1981-08-18,N/A,Ficus maxima P. Miller,Ficus maxima P. Miller,William O. Burger,1982,N/A,Peru,Loreto,N/A,N/A,"Quisto Cocha, 14 km north of Iquitos","Quisto Cocha, 14 kilometers north of Iquitos",[habitat information not visible on provided label image],[substrate information not visible on provided label image],600m elev,N/A,1923146,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/786/584/V0251887F.jpg,,,0068_V0251887F.jpg,E. P. Killip & A. C. Smith,E. P. Killip,A. C. Smith,16721,"July 23-27, 1929",1929-07-23,1929-07-27,Psychotria sarmentosa (Sw.) DC.,Psychotria sarmentosa (Sw.) DC.,N/A,N/A,N/A,Peru,Junín,Chanchamayo,N/A,"Dept. Junín: Chanchamayo, on Pichis Trail, above San Ramón.","Pichis Trail, above San Ramón",Dense forest,Soil,about 900 meters,N/A,607534,Typed,No type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/750/898/V0243915F.jpg,,,0069_V0243915F.jpg,M. O. Dillon and I. Sánchez V.,M. O. Dillon,I. Sánchez V.,6310,22 July 1983,1983-07-22,N/A,"Wissadula grandiflora Baker ex Rusby det. P. Fryxell, 1983",Wissadula grandiflora,P. Fryxell,1983,N/A,Peru,Piura,Huancabamba,N/A,"Dept. Piura. Prov. Huancabamba, ca. 2 km N of Canchaque.",ca. 2 km North of Canchaque,N/A,N/A,1450 m alt.,[precise coordinates not provided],2119563,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/678/428/V0187051F.jpg,,,0070_V0187051F.jpg,J. Francis Macbride,J. Francis Macbride,N/A,4980,"June 22, 1923",1923-06-22,N/A,Cnidoscolus aconitifolius (I. Mueller) I. M. Johnst.,Cnidoscolus aconitifolius (I. Mueller) I. M. Johnst.,N/A,N/A,N/A,Peru,Cueva Grande,N/A,N/A,Cueva Grande; Peru,Cueva Grande,N/A,Bark,about 3000 feet,N/A,535840,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/776/646/V0258426F.jpg,,,0071_V0258426F.jpg,Weberbauer,Weberbauer,N/A,2820,12.XII.1910,1910-12-12,1910-12-12,Geranium chilloense Kunth,Geranium chilloense Kunth,Bente Eriksen,N/A,N/A,Peru,Peru,N/A,N/A,"Quebrada San Cristobal, Prov. Cajamarca, Dep. Cajamarca",Quebrada San Cristobal,"Junto a casa habitada, entre matas y piedras",soil,2874 m.s.m.,N/A,1684365,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/686/796/V0193750F.jpg,,,0072_V0193750F.jpg,J. Mostacero L.; L. Serna C.; F. Peláez; J. Mejía C.; H. Guevara b.,J. Mostacero L.,L. Serna C.; F. Peláez; J. Mejía C.; H. Guevara b.,1040,12-XII-1986,1986-12-12,N/A,Jaegeria hirta (Lag.) Less.,Jaegeria hirta (Lag.) Less.,M. O. Dillon,11-VII-1991,N/A,Peru,Cajamarca,Cutervo,N/A,La Morilla (Socota-San Andrés),La Morilla (Socota-San Andrés),A lo largo de carretera,soil,2450 m.,N/A,N° 199382,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/738/306/V0228073F.jpg,,,0073_V0228073F.jpg,"Spichiger, R. & A.-P. Loizeau","Spichiger, R.",A.-P. Loizeau,3012,10-4-86,1986-04-10,1986-04-10,Pourouma guianensis subsp. guianensis,Ambaibun arborea,N/A,N/A,N/A,Pérou,Loreto,Jenaro Herrera,N/A,"Bosque de terraza alta, suelo arenoso.",Bosque de terraza alta,suelo arenoso,N/A,Alt. 125 m.,N/A,N° 2027582,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/494/920/V0100062F.jpg,,,0074_V0100062F.jpg,G. Klug,G. Klug,N/A,660,"December, 1929",1929-12-00,1929-12-00,Palicourea coriacea (Sw.) Schult. & Schult.f.,Palicourea coriacea (Sw.) Schult. & Schult.f.,N/A,N/A,N/A,Peru,Loreto,N/A,Maynas,"Mishuyacu, near Iquitos, alto ten montes; forest","Mishuyacu, near Iquitos",forest,N/A,100 m.,N/A,613565,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/655/199/V0198402F.jpg,,,0075_V0198402F.jpg,T. R. Dudley,T. R. Dudley,N/A,10635,24 Aug. 1968,1968-08-24,N/A,Dendrophthora membranaceifolia Urb. Loranthaceae,Dendrophthora sp.,Job Kuijt,18 Dec. 1984,N/A,Peru,Ayacucho,La Mar,N/A,"Prov. La Mar; Dept. Ayacucho, eastern Massif of the Cordillera Oriental on San Miguel, Ayacucho via bloodmeal between Tambo on the E side and Hacienda Luisiana, ","Eastern Massif of the Cordillera Oriental on San Miguel, via Bloodmeal between Tambo on the East side and Hacienda Luisiana",Dense cloud forest as timberline; high elfin montane forest,soil,3220 meters,73°53'W; 12°45'S,N/A,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/675/982/V0225274F.jpg,,,0076_V0225274F.jpg,G. Klug,G. Klug,N/A,1695,April 19 1929,1929-04-19,N/A,Ficus trigona L.f.,Ficus trigona L.f.,M. Vásquez Avila,Utrecht 1983,N/A,Peru,Loreto,Maynas,N/A,"Mishuyacu, near Iquitos","Mishuyacu, near Iquitos",Forest,N/A,100 meters,N/A,873381,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/736/767/V0224820F.jpg,,,0077_V0224820F.jpg,"Mildred E. Mathias, Dermot Taylor",Mildred E. Mathias,Dermot Taylor,5576,18 July to 19 61,1961-07-18,1961-07-19,Byrsonima crassifolia (L.) Kunth var. spicata (Cav.) Nied.,Malpighia,"William R. Anderson, University of Michigan Herbarium '83",N/A,N/A,Perú,Loreto,N/A,Vicinity of Requena,Loreto: vicinity of Requena,[$precise locality unknown],"""Barbasco silvestre""",N/A,N/A,N/A,1733057,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/939/013/V0304780F.jpg,,,0078_V0304780F.jpg,José Schunke Vigo,José Schunke Vigo,N/A,6677,Oct. 1970,1970-10-00,1970-10-00,Paulinia bracteosa Radlk.,Paulinia bracteosa Radlk.,Donald E. Stone & R.L. Dressler,1984,N/A,Peru,Loreto,Datem del Marañón,Quebrada de la Aguila,(Contamana) in tall forest,Quebrada de la Aguila,tall forest,N/A,220 m,N/A,1717601,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/785/493/V0238260F.jpg,,,0079_V0238260F.jpg,Llewelyn Williams,Llewelyn Williams,N/A,3363,"Sept.-Oct., 1929",1929-09-00,1929-10-00,Psychotria viridis Ruíz & Pav.,Psychotria viridis Ruíz & Pav.,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,"Forest of Porvenir, Alto Río Itaya","Forest of Porvenir, Alto Río Itaya","Unclear, potentially forest",N/A,Alt. 145 m.,N/A,26,Handwritten,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/736/994/V0225047F.jpg,,,0080_V0225047F.jpg,"T. Plowman, A. Sagastegui A., J. Mostacero L., F. R. Mejía & F. Peláez",T. Plowman,"A. Sagastegui A., J. Mostacero L., F. R. Mejía, F. Peláez",14242,12 July 1986,1986-07-12,N/A,Abutilon mollissimum (Cav.) Sweet,Abutilon mollissimum (Cav.) Sweet,F. Fryxell,1987,N/A,Peru,Cajamarca,Jaén,N/A,"Road from Pucará to Chambaya, km 21 east of Pucará, along Río Huancabamba","Road from Pucará to Chambaya, 21 kilometers east of Pucará, along Río Huancabamba",Dry scrub forest on steep slopes,N/A,Alt. 700 m,N/A,1973380,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/738/506/V0239614F.jpg,,,0081_V0239614F.jpg,Magda Chanco with Michelle McMahon and Larry Hufford,Magda Chanco,"Michelle McMahon, Larry Hufford",2253555,14 April 2003,2003-04-14,N/A,Abutilon sp.,Abutilon sp.,N/A,N/A,N/A,Peru,Cajamarca,N/A,N/A,Chilet- San Pablo road about 15 km from Chilet,Chilet- San Pablo road about 15 kilometers from Chilet,N/A,N/A,3614 feet elevation,"07°55'54""W, 78°46'05""",N/A,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1611/031/V0414961F.jpg,,,0082_V0414961F.jpg,Marcos Rios,Marcos Rios,"Tony Mori, Nigel Pitman, Luis Torres, Corine Vriesendorp",4399,13 octubre 2014,2014-10-13,N/A,Andira macrothyrsa Ducke,Andira macrothyrsa Ducke,N/A,N/A,N/A,Peru,Loreto,Requena,N/A,"Prov. Requena, Dtto. de Soplin, Quebrada Yanayacu-Rio Blanco, Campamento Wiseuyacu de inventario rapido #27, de la region Tapiche-Blanco","Prov. Requena, Dtto. de Soplin, Quebrada Yanayacu-Rio Blanco, Campamento Wiseuyacu",Bosque de Planicie Inundable aguas blancas.,soil,A. W. 90.,"05°33'S; 73°15'33""W",2818558,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1611/032/V0414962F.jpg,,,0083_V0414962F.jpg,Marcos Rios,Marcos Rios,N/A,4399,13 octubre 2014,2014-10-13,2014-10-13,Andira macrothyrsa Ducke,Andira macrothyrsa Ducke,N/A,N/A,N/A,Peru,Loreto,Requena,N/A,"Dto. de Soplin Quebrada Yanayacu-Rio Blanco, Campamento Wishwincho del interviento r͟ípio 47, de la región Blanco","Dto. de Soplin Quebrada Yanayacu-Rio Blanco, Campamento Wishwincho del intervento ripio 47, de la region Blanco",Bosque de Plaine inundable de aguas blancas,N/A,Alt. 90,"05°43'35""S 75°13'35""W",N° 2318537,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1743/655/V0462893F.jpg,,,0084_V0462893F.jpg,Ynes Mexia,Ynes Mexia,N/A,8265,"Oct. 9, 1936",1936-10-09,1936-10-09,Piper oblongulum Ruiz & Pav. ex DC.,Piper oblongulum Ruiz & Pavon ex De Candolle,N/A,N/A,N/A,Peru,Department of Huanuco,N/A,Huallaga,"Near confluence Rio Huallaga with Rio Monzon, forested slope above road",Near confluence of Rio Huallaga with Rio Monzon,Forested slope above road,soil,805 meters,N/A,10666956,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1743/657/V0462895F.jpg,,,0085_V0462895F.jpg,Ynes Mexia,Ynes Mexia,N/A,6127,"Nov. 24, 1931",1931-11-24,N/A,Piper callosum Ruiz & Pav. det. Trelease,Piper callosum Ruiz & Pav.,Trelease,N/A,N/A,Peru,Departamento de Loreto,N/A,N/A,Above Pongo de Manseriche. Right bank of mouth of Rio Santiago; dense forest.,"Above Pongo de Manseriche, right bank of mouth of Rio Santiago",Dense forest,N/A,Alt. 200 meters,N/A,872227,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1743/506/V0441679F.jpg,,,0086_V0441679F.jpg,D. R. Simpson & José Schunke V.,D. R. Simpson,José Schunke V.,565,"January 4, 1968",1968-01-04,N/A,"Ipomoea carnea Jacq. (det. D. R. Simpson, Jan. 1969)",Ipomoea carnea Jacq.,D. R. Simpson,Jan. 1969,N/A,Peru,Dpto. Tumbes,Prov. Tumbes,N/A,Desde Pampas de Hospital toma la trocha carrozable oblicuamente abajo hacia el arbustal muy seco de la Pampa de Hospital.,Desde Pampas de Hospital toma la trocha carrozable oblicuamente abajo hacia el arbustal muy seco de la Pampa de Hospital.,"Common from the dry, deciduous forest zone, downward into the very dry thorn-scrub. Along the road about 10 km. northwest of El Caucho",N/A,N/A,N/A,1897948,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1743/504/V0441677F.jpg,,,0087_V0441677F.jpg,T. Plowman & P. M. Rury,T. Plowman,P. M. Rury,11105,6 December 1981,1981-12-06,N/A,Ipomoea cairica (L.) Sweet det. Al McDonald 1983,Ipomoea cairica (L.) Sweet,Al McDonald,1983,N/A,Peru,Huánuco,N/A,N/A,"Prov. Huánuco. 8 km. northeast of Huánuco on road to Tingo María. Approx. 9°52'S., 76°11'W.",Prov. Huánuco. 8 kilometers northeast of Huánuco on road to Tingo María,roadside near houses,N/A,alt. 1750 m.,"Approx. 9°52'S., 76°11'W.",1896900,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1684/390/V0401892F.jpg,,,0088_V0401892F.jpg,Robin B. Foster,Robin B. Foster,N/A,4262,"Aug. 19, 1978",1978-08-19,1978-08-19,Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez,Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez,E.J. Gouda,2012-05-02,N/A,Peru,Loreto,Maynas,Iquitos,Caserio Muyuna 30km SW of Iquitos,"Caserio Muyuna, 30 kilometers southwest of Iquitos",Terrestrial in white sand scrub; Forested hills on white or brown sand soils.,soil,N/A,N/A,1852637,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1766/135/V0460617F.jpg,,,0089_V0460617F.jpg,"J. Farfán, L. Valenzuela, I. Huamantupa, A. Carazas, L. Aragóna",J. Farfán,"L. Valenzuela, I. Huamantupa, A. Carazas, L. Aragóna",1262,23 Octubre 2006,2006-10-23,N/A,Anthurium clavigerum Poepp.,Anthurium clavigerum Poepp.,Thomas B. Croat,2008,N/A,Peru,Cusco,La Convención,N/A,"Dist. Vilcabamba, Chaunquiri camino a Ríoamba, Bosque secundario","Dist. Vilcabamba, Chaunquiri camino a Ríoamba",Bosque Secundario,N/A,1009 m,12°47'15''S 073°10'10''W,N/A,Typed,no type status
EMu Field Museum | Neotropical Flora Portal,https://fm-digital-assets.fieldmuseum.org/1826/292/V0469643F.jpg,,,0090_V0469643F.jpg,Thomas B. Croat,Thomas B. Croat,N/A,8210,"July 18, 1972",1972-07-18,N/A,Agave americana L.,Agave americana L.,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,Sandy area 12-15 km. SW of Iquitos on road to Lago Quistococha,Sandy area 12-15 kilometers southwest of Iquitos on road to Lago Quistococha,Sandy area,soil,N/A,N/A,1759629,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/227/821/V0075820F.jpg,,,0091_V0075820F.jpg,T. R. Dudley,T. R. Dudley,N/A,10783,4 July 1968,1968-07-04,1968-07-04,Thelypteris linkiana (Spreng.) Ching,Thelypteris dudleyi R. A. Smith,Alan R. Smith,1980,N/A,Peru,Cusco,La Convencion,N/A,"In full sun on old open landslide, just above the cloud forest, between camp 45&S; almost to Camp 5; at c. 2825 m; one of the commonest colonizers of landslide.","In full sun on old open landslide, just above the cloud forest, between camp 45&S, almost to Camp 5","On old open landslide, above cloud forest",soil,c. 2825 m,12° 53' / 73° 32',65658,Handwritten,Isotype
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/227/835/V0075836F.jpg,,,0092_V0075836F.jpg,S. Knapp,S. Knapp,N/A,5881,4 July 1982,1982-07-04,N/A,Trichipteris pinnata Stolze,Trichipteris pinnata Stolze,Robert G. Stolze,1984,N/A,Panama,Province of Colón,N/A,N/A,"Santa Rita Ridge road, 21-26 km from Transisthmian Highway","Santa Rita Ridge road, 21-26 kilometers from Transisthmian Highway",Tropical wet forest,Soil,500-550 m.,"9°25'N, 79°37'W",1932768,Typed,Holotype
