verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Marko Lewis,M. Lewis,N/A,83-511,7 Feb 1983,1983-02-07,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,unsure and check,unsure and check,N/A,Bolivia,La Paz,Nor Yungas,Coroico,1 km S of Coroico along road between Coroico and Yolosa,PASS,Fruit and coffee plantations. Bark of fruit trees in orchard.,ca. 1650 m,16°11'S67°43'W,1100344,Typed,no type status
Ynes Mexia,Y. Mexia,N/A,8190a,"Sept. 15, 1936",1936-09-15,N/A,Rhacopilum tomentosum (Sw.) Brid.,Rhacopilum tomentosum, Bartram,N/A,N/A,Peru,Huanuco,PASS,N/A,PASS,Hacienda Mercedes; Pocon Perga; old tree trunk in dense shade,Dense shade,PASS,N/A,PASS,Typed,no type status
Ynes Mexia,Y. Mexia,N/A,8165a,"Sept. 9, 1936",1936-09-09,N/A,Rhaecopilum tomentosum (Sw.) Brid.,Rhaecopilum tomentosum, Bartram,N/A,N/A,Peru,Huanuco,Churubamba,N/A,Hacienda Exito; bank of Rio Ysabel; on rock in wood,Hacienda Exito; bank of Rio Ysabel; on rock in wood,on rock in wood,Alt. 1100 m.,N/A,PASS,Typed,no type status
Ynes Mexia,Y. Mexia,N/A,8168a,"Sept. 9, 1936",1936-09-09,N/A,Rhacopilum tomentosum (Sw.) Brid.,Rhacopilum tomentosum, Bartram,N/A,N/A,Peru,Huanuco,Churubamba,N/A,Hacienda Exito; bank of Rio Yasabel; on rock in woods,Hacienda Exito; bank of Rio Yasabel; on rock in woods,On rock in woods,Alt. 1100 m.,N/A,1036248,Typed,no type status
Richard Evans Schultes et Isidoro Cabrera,R. E. Schultes,I. Cabrera,16563,"May 19, 1952",1952-05-19,N/A,PASS,PASS,H. A. Crum,1956,N/A,Colombia,Amazonas,N/A,N/A,Rio Miritiparaná: Caño Guacayá,Rio Miritiparaná: Caño Guacayá,PASS,Altitude about 700 feet,Lat0°05'SLong70°40'W,1055465,Typed,no type status
Dana Griffin III Orlando Rangel y Guido van Reenen,D. Griffin,O. Rangel | G. van Reenen,50.186,Julio-Agosto 1977,1977-07-00,1977-08-00,Leucoloma limicola Spr. ex Mitt.,Leucoloma limicola,D. Griffin,N/A,N/A,Colombia,Magdalena,N/A,N/A,PASS,PASS,Bosque nublado montano bajo,alt. 1600-1700 m,N/A,1029476,Typed,no type status
S.P. Churchill et al.,S. P. Churchill,et al.,15466,6 July 1987,1987-07-06,N/A,PASS,PASS,S. P. Churchill,N/A,N/A,Colombia,Antioquia,N/A,N/A,"Mun. de la Union, Cerro San Miguel S of San Miguel",Cerro San Miguel South of San Miguel,In secondary montane forest,2460-2620 m,5°55'N75°17'W,1139980,Typed,no type status
"Dana Griffin, III, María Isabel Morales y Dora Emilia de Retana",D. Griffin,M. I. Morales | D. E. de Retana,215,"Julio 3-4, 1977",1977-07-03,1977-07-04,Hypnella pilifera (Hook. et Wils.) Jaeg.,Hypnella pilifera, N/A,N/A,N/A,Costa Rica,Cartago,N/A,N/A,PASS,PASS,PASS,PASS,N/A,1025621,Typed,no type status
John J. Wurdack,J. J. Wurdack,N/A,34365,"February 21, 1953",1953-02-21,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,E. B. Bartram,N/A,N/A,Venezuela,Bolivar,N/A,N/A,Frequent on fallen logs in forest between Camps 3 and 2,Between Camps 3 and 2,PASS,elev. 1250 - 1200 m,N/A,1026297,Typed,no type status
William R. Buck,W. R. Buck,N/A,2445,9-12 July 1979,1979-07-09,1979-07-12,Hookeriopsis parkeriana (Hook. & Grev.) Jaeg.,Hookeriopsis parkeriana, N/A,N/A,N/A,Brazil,Amazonas,N/A,N/A,Slopes and summit of Serra Curicuriari from Igarapé Arabú of the Rio Curicuriari to the summit,Slopes and summit of Serra Curicuriari from Igarapé Arabú of the Rio Curicuriari to the summit,On branches at summit,ca. 450 m at summit,00°02'S66°50'W,112861,Typed,no type status
Robin B. Foster,R. B. Foster,N/A,4722,30 July 1981,1981-07-30,N/A,Hypnella pilifera (Hook. & Wils.) Jaeg.,Hypnella pilifera,W. C. Steere,N/A,PASS,Peru,Pasco,N/A,N/A,PASS,PASS,In Weinmannia forest,1900 m,10°30'S75°30'W,1059405,Typed,no type status
J. M. Fitzpatrick & D. E. Willard,J. M. Fitzpatrick,D. E. Willard,s.n.,4 Dec. 1981,1981-12-04,N/A,Hypnella pilifera (Hook. & Wils.) Jaeg.,Hypnella pilifera,PASS,PASS,N/A,Peru,Cuzco,N/A,N/A,Slopes above Pillahuata near km. 126 on Cosñipata Hwy.,Slopes above Pillahuata near kilometer 126 on Cosñipata Highway,Extremely mossy elfin cloud forest near shallow ravine,PASS,13°11'S71°02'W,1059455,Typed,no type status
S.P. Churchill et al.,S. P. Churchill,N/A,18335,11 July 1992,1992-07-11,N/A,Hypnella diversifolia (Mitt.) Jaeg.,Hypnella diversifolia,S. P. Churchill,N/A,N/A,Colombia,Antioquia,N/A,Valdivia,road to Pueblo Nuevo Ventanas,road to Pueblo Nuevo Ventanas,On talud in secondary montane forest,alt. 1950 m,7°5'N75°25'W,1139892,Typed,no type status
John J. Wurdack,J. J. Wurdack,N/A,4056,"January 7, 1953",1953-01-07,N/A,PASS,PASS,B. Bartram,N/A,N/A,Venezuela,PASS,N/A,N/A,between Camps 2 and 3,between Camps 2 and 3,PASS,elev. 1200-1250 m.,N/A,1026299,Typed,no type status
Robin B. Foster,R. B. Foster,N/A,4720,30 July 1981,1981-07-30,N/A,Hypnella Pallescens (Hook.) Jaeg.,Hypnella Pallescens, N/A,N/A,Weinmannia,Peru,Pasco,N/A,N/A,E slope of Cordillera Yanachaga On Tunque- Chuchurras trail,E slope of Cordillera Yanachaga On Tunque- Chuchurras trail,In Weinmannia forest,1900 m,10°30'S75°30'W,1059403,Typed,no type status
John J. Wurdack,J. J. Wurdack,N/A,34365,"February 21, 1953",1953-02-21,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,E. B. Bartram,N/A,N/A,Venezuela,Bolivar,N/A,N/A,Frequent on fallen logs in forest between Camps 3 and 2,Frequent on fallen logs in forest between Camps 3 and 2,Slope forest,elev. 1250 - 1200 m,N/A,1026300,Typed,no type status
PASS,PASS,N/A,s.n.,N/A,0000-00-00,N/A,Weissia compacta Brid.,Weissia compacta, N/A,N/A,N/A,France,Orne,N/A,Athis,PASS,PASS,N/A,N/A,N/A,1084497,Mix of Handwritten and Typed,no type status
H. Inoue,H. Inoue,N/A,s.n.,"Jan. 11, 1973",1973-01-11,N/A,Macromitrium japonicum Doz. et Molk.,Macromitrium japonicum,Z. Iwatsuki,N/A,Pinus thunbergii,Japan,Okinawa,N/A,N/A,"Around Shirahama, Iriomote Isl., the Ryukyu Isls.","Around Shirahama, Iriomote Island, the Ryukyu Islands",On bark of Pinus thunbergii,elevation about 10 m,N/A,1021837,Typed,no type status
R. Reitz,R. Reitz,N/A,2464,17.12.1948,1948-12-17,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,PASS,1949,N/A,Brazil,Santa Catarina,N/A,N/A,"Campo dos Padres, Bom Retiro","Campo dos Padres, Bom Retiro",Rupestre,PASS,N/A,MB 5512,Typed,no type status
Frahm,N. Frahm,N/A,s.n.,PASS,1977-07-22,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,unsure and check,PASS,Podocarpus,Brazil,Sao Paulo,N/A,Sao Jose dos Barreiros,Serra do Bocaina Leesite an der Straße Campos da Cunha - Sao Jose dos Barreiros,Serra do Bocaina Leesite an der Straße Campos da Cunha,epiphytisch im Podocarpus-Wald,1200 m,N/A,1026026,Typed,no type status
PASS,PASS,N/A,PASS,PASS,PASS,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus, N/A,N/A,N/A,Brazil,Santa Catarina,N/A,N/A,PASS,PASS,N/A,PASS,N/A,N/A,Typed,no type status
Schäfer-Verwimp, Schäfer-Verwimp,N/A,9019,5.9.1987,1987-09-05,N/A,PASS,PASS, Schäfer-Verwimp,N/A,N/A,Brazil,São Paulo,N/A,PASS,PASS,Pedra Grande near Atibaia,PASS,PASS,N/A,1097651,PASS,no type status
PASS,PASS,N/A,s.n.,6.9.1982,1982-09-06,N/A,Campylopus heterostachys (Hamp.) Jaeg.,Campylopus heterostachys,unsure and check,unsure and check,N/A,Peru,Amazonas,Cajamarca,Chachapoyas,PASS,PASS,PASS,2600 m,N/A,1053590,Typed,no type status
